date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,2,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,22,0,0,0
2020-01-13,1,0,0,0
2020-01-14,11,0,0,0
2020-01-15,18,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,23,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,20,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,22,0,0,0
2020-01-31,15,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0.05555555555555555,0.009874935830924522,0.2575779980200754
2020-02-03,21,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,32,0,0,0
2020-02-07,30,0,0,0
2020-02-08,27,0,0,0
2020-02-09,24,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,10,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,38,0,0,0
2020-02-16,36,0,0,0
2020-02-17,46,0,0,0
2020-02-18,22,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,17,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,31,0,0,0
2020-02-25,35,0,0,0
2020-02-26,28,0,0,0
2020-02-27,63,0,0,0
2020-02-28,67,0,0,0
2020-02-29,83,0,0,0
2020-03-01,151,0,0,0
2020-03-02,202,0,0,0
2020-03-03,220,0,0,0
2020-03-04,233,0,0,0
2020-03-05,243,0,0,0
2020-03-06,204,0,0,0
2020-03-07,172,0,0,0
2020-03-08,198,0,0,0
2020-03-09,377,0,0,0
2020-03-10,412,0,0,0
2020-03-11,518,0,0,0
2020-03-12,704,0,0,0
2020-03-13,803,0.0012453300124533001,0.00021556367720071474,0.006883737087369282
2020-03-14,830,0,0,0
2020-03-15,972,0.00102880658436214,0.00017850563372127492,0.005705212373259899
2020-03-16,1234,0.0008103727714748784,0.0001414563246778226,0.004524948754047792
2020-03-17,1170,0,0,0
2020-03-18,1158,0,0,0
2020-03-19,1136,0,0,0
2020-03-20,1109,0,0,0
2020-03-21,972,0.00102880658436214,0.00017814533524065202,0.005693744219840278
2020-03-22,843,0,0,0
2020-03-23,1632,0.0012254901960784314,0.0003259432556881492,0.004322744564199622
2020-03-24,1772,0,0,0
2020-03-25,1638,0,0,0
2020-03-26,1680,0.0017857142857142857,0.000596116742172823,0.005139610844802572
2020-03-27,1690,0.000591715976331361,0.00010323553808842997,0.0033052474862470746
2020-03-28,1355,0,0,0
2020-03-29,1249,0,0,0
2020-03-30,1789,0.0005589714924538849,9.620267089122248e-05,0.0030805799296329335
2020-03-31,1840,0.0016304347826086956,0.0005306910925746544,0.004576942041358097
2020-04-01,1864,0.000536480686695279,9.160941022552316e-05,0.0029338070713750388
2020-04-02,1529,0.0006540222367560497,0.00010937641199588342,0.003501360263337474
2020-04-03,1626,0,0,0
2020-04-04,1227,0,0,0
2020-04-05,981,0,0,0
2020-04-06,1701,0,0,0
2020-04-07,1450,0,0,0
2020-04-08,1509,0,0,0
2020-04-09,1138,0,0,0
2020-04-10,1224,0,0,0
2020-04-11,1005,0,0,0
2020-04-12,844,0,0,0
2020-04-13,1308,0,0,0
2020-04-14,1215,0,0,0
2020-04-15,1136,0,0,0
2020-04-16,1123,0,0,0
2020-04-17,992,0,0,0
2020-04-18,762,0.0013123359580052493,0.00022179324314352766,0.0070816528391807725
2020-04-19,644,0,0,0
2020-04-20,1097,0,0,0
2020-04-21,1040,0,0,0
2020-04-22,1065,0,0,0
2020-04-23,927,0.015102481121898598,0.008625456617009072,0.024105051617836142
2020-04-24,904,0,0,0
2020-04-25,556,0,0,0
2020-04-26,469,0,0,0
2020-04-27,1029,0,0,0
2020-04-28,885,0.0022598870056497176,0.0005861579415930315,0.0077573756921597205
2020-04-29,1094,0,0,0
2020-04-30,1093,0,0,0
2020-05-01,973,0.029804727646454265,0.019540651193506554,0.039874345286265205
2020-05-02,600,0,0,0
2020-05-03,494,0,0,0
2020-05-04,994,0.0030181086519114686,0.0009786617720992583,0.008422569512557368
2020-05-05,914,0.0010940919037199124,0.00017977823729430062,0.005745717298702556
2020-05-06,770,0,0,0
2020-05-07,711,0,0,0
2020-05-08,641,0.0015600624024961,0.0002547640642659631,0.008128202739093652
2020-05-09,474,0,0,0
2020-05-10,446,0.002242152466367713,0.00037889879952919455,0.012054227598814414
2020-05-11,777,0,0,0
2020-05-12,759,0.013175230566534914,0.006795111560518972,0.022827611718198228
2020-05-13,728,0,0,0
2020-05-14,760,0.002631578947368421,0.0006765377176205196,0.00894692775100553
2020-05-15,501,0.001996007984031936,0.00032635923463021746,0.010395289038923049
2020-05-16,292,0,0,0
2020-05-17,237,0,0,0
2020-05-18,567,0,0,0
2020-05-19,665,0.0015037593984962407,0.0002479644046680089,0.007912500145031255
2020-05-20,494,0,0,0
2020-05-21,453,0,0,0
2020-05-22,600,0.0016666666666666668,0.0002793584436381069,0.008907835348023212
2020-05-23,273,0,0,0
2020-05-24,263,0,0,0
2020-05-25,299,0,0,0
2020-05-26,519,0,0,0
2020-05-27,520,0,0,0
2020-05-28,332,0,0,0
2020-05-29,357,0.014005602240896359,0.005460109848760329,0.02950741251372002
2020-05-30,274,0.0036496350364963502,0.0006174697118209315,0.01953698706733016
2020-05-31,212,0,0,0
2020-06-01,494,0,0,0
2020-06-02,579,0,0,0
2020-06-03,379,0.002638522427440633,0.00042961827422093686,0.013651901033389485
2020-06-04,441,0,0,0
2020-06-05,380,0,0,0
2020-06-06,218,0.0045871559633027525,0.0007678910476641264,0.024213121740479647
2020-06-07,353,0,0,0
2020-06-08,617,0,0,0
2020-06-09,524,0.0019083969465648854,0.00032277861670390845,0.010282084923014223
2020-06-10,580,0,0,0
2020-06-11,743,0,0,0
2020-06-12,674,0,0,0
2020-06-13,627,0,0,0
2020-06-14,521,0,0,0
2020-06-15,820,0,0,0
2020-06-16,734,0,0,0
2020-06-17,649,0,0,0
2020-06-18,703,0,0,0
2020-06-19,711,0.0028129395218002813,0.0007315857337783599,0.009670599552891944
2020-06-20,404,0,0,0
2020-06-21,447,0,0,0
2020-06-22,515,0.001941747572815534,0.0003075923801418653,0.00980175246453529
2020-06-23,598,0.0016722408026755853,0.0002824878770914684,0.009006973888796795
2020-06-24,633,0.001579778830963665,0.0002486630175622569,0.007934665048496095
2020-06-25,555,0,0,0
2020-06-26,462,0,0,0
2020-06-27,371,0,0,0
2020-06-28,273,0,0,0
2020-06-29,586,0,0,0
2020-06-30,571,0.0035026269702276708,0.0009300870738511577,0.012274781025655511
2020-07-01,617,0,0,0
2020-07-02,738,0.0013550135501355014,0.00023291397886044592,0.007434821676425378
2020-07-03,506,0,0,0
2020-07-04,325,0,0,0
2020-07-05,291,0,0,0
2020-07-06,657,0.0015220700152207,0.00026040146505072097,0.0083069842738071
2020-07-07,721,0,0,0
2020-07-08,804,0.0024875621890547263,0.0006531723618071494,0.008639566939028457
2020-07-09,740,0.0013513513513513514,0.00023199564057308197,0.007405664235667959
2020-07-10,578,0,0,0
2020-07-11,395,0.007594936708860759,0.0024496035186905,0.020935917304346005
2020-07-12,333,0,0,0
2020-07-13,703,0,0,0
2020-07-14,713,0.002805049088359046,0.0007355100903081315,0.009722165237387743
2020-07-15,925,0,0,0
2020-07-16,688,0,0,0
2020-07-17,697,0.0028694404591104736,0.0007750040626504274,0.010240929819269369
2020-07-18,579,0,0,0
2020-07-19,432,0,0,0
2020-07-20,674,0,0,0
2020-07-21,770,0,0,0
2020-07-22,638,0,0,0
2020-07-23,817,0.0012239902080783353,0.00021168605802659925,0.006760514892606551
2020-07-24,663,0,0,0
2020-07-25,468,0,0,0
2020-07-26,321,0,0,0
2020-07-27,821,0,0,0
2020-07-28,674,0.001483679525222552,0.0002562433662897629,0.008175121032152826
2020-07-29,680,0,0,0
2020-07-30,615,0.0016260162601626016,0.0002806910987238936,0.008950054794087196
2020-07-31,567,0,0,0
2020-08-01,509,0,0,0
2020-08-02,438,0,0,0
2020-08-03,893,0.0011198208286674132,0.00019210419186204265,0.006137909539638575
2020-08-04,746,0,0,0
2020-08-05,591,0,0,0
2020-08-06,702,0,0,0
2020-08-07,570,0,0,0
2020-08-08,399,0.002506265664160401,0.0004327781896081887,0.013751315889280392
2020-08-09,444,0.0045045045045045045,0.0012196487766356551,0.01605862628673447
2020-08-10,798,0,0,0
2020-08-11,765,0,0,0
2020-08-12,687,0.001455604075691412,0.000254030799866413,0.008104944968032924
2020-08-13,778,0,0,0
2020-08-14,706,0,0,0
2020-08-15,408,0,0,0
2020-08-16,366,0,0,0
2020-08-17,853,0,0,0
2020-08-18,779,0.007702182284980745,0.0034330780958553094,0.016225375873262195
2020-08-19,756,0,0,0
2020-08-20,928,0.0021551724137931034,0.0005756983877621677,0.007619597468939714
2020-08-21,762,0.0013123359580052493,0.00022751047441177315,0.007263241493680207
2020-08-22,357,0,0,0
2020-08-23,352,0,0,0
2020-08-24,665,0,0,0
2020-08-25,712,0,0,0
2020-08-26,962,0,0,0
2020-08-27,906,0,0,0
2020-08-28,743,0.004037685060565276,0.00133804065459368,0.01149590054004156
2020-08-29,524,0,0,0
2020-08-30,631,0,0,0
2020-08-31,1011,0.0019782393669634025,0.0005224989841507032,0.006918467476083927
2020-09-01,939,0.0010649627263045794,0.00018409047126761842,0.005882951085723688
2020-09-02,757,0.001321003963011889,0.0002269255216556166,0.007244664631643977
2020-09-03,947,0,0,0
2020-09-04,794,0.0025188916876574307,0.0006642472716852188,0.008785266948860003
2020-09-05,422,0,0,0
2020-09-06,313,0,0,0
2020-09-07,871,0.003444316877152698,0.0011342472101027443,0.009754386373480925
2020-09-08,809,0,0,0
2020-09-09,1357,0.0007369196757553427,0.00012682161257773653,0.004058180467887554
2020-09-10,1647,0.0036429872495446266,0.001639745216012443,0.007779453357741468
2020-09-11,874,0,0,0
2020-09-12,376,0,0,0
2020-09-13,354,0,0,0
2020-09-14,811,0.0012330456226880395,0.00020672782155959282,0.006602920952759582
2020-09-15,800,0,0,0
2020-09-16,2006,0.0004985044865403788,8.607052612375803e-05,0.002756776338568878
2020-09-17,952,0.0010504201680672268,0.00017814533524065202,0.005693744219840278
2020-09-18,1230,0.0024390243902439024,0.0007998858301257183,0.006889815770447352
2020-09-19,763,0,0,0
2020-09-20,660,0,0,0
2020-09-21,1429,0,0,0
2020-09-22,998,0.001002004008016032,0.0001662340444449939,0.005314505307443692
2020-09-23,1328,0.002259036144578313,0.0007471653065380951,0.006437315001258077
2020-09-24,2522,0.0007930214115781126,0.00020691260022476446,0.002746785277644861
2020-09-25,1130,0.0017699115044247787,0.00047375535148011874,0.006275529576861232
2020-09-26,479,0,0,0
2020-09-27,1063,0.0009407337723424271,0.00016270978771449254,0.0052022578990454545
2020-09-28,782,0,0,0
