date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,2,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,22,0,0,0
2020-01-13,1,0,0,0
2020-01-14,11,0,0,0
2020-01-15,18,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,23,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,20,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,22,0,0,0
2020-01-31,15,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0,0,0
2020-02-03,21,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,32,0,0,0
2020-02-07,30,0,0,0
2020-02-08,27,0,0,0
2020-02-09,24,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,10,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,38,0,0,0
2020-02-16,36,0,0,0
2020-02-17,46,0,0,0
2020-02-18,22,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,17,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,31,0,0,0
2020-02-25,35,0,0,0
2020-02-26,28,0,0,0
2020-02-27,63,0,0,0
2020-02-28,67,0,0,0
2020-02-29,83,0,0,0
2020-03-01,151,0,0,0
2020-03-02,202,0,0,0
2020-03-03,220,0,0,0
2020-03-04,234,0,0,0
2020-03-05,243,0,0,0
2020-03-06,204,0,0,0
2020-03-07,172,0,0,0
2020-03-08,196,0,0,0
2020-03-09,377,0,0,0
2020-03-10,411,0,0,0
2020-03-11,518,0,0,0
2020-03-12,705,0,0,0
2020-03-13,805,0,0,0
2020-03-14,830,0,0,0
2020-03-15,973,0.0020554984583761563,0.0005547361077659435,0.007343401923517195
2020-03-16,1234,0,0,0
2020-03-17,1169,0,0,0
2020-03-18,1158,0,0,0
2020-03-19,1135,0,0,0
2020-03-20,1107,0,0,0
2020-03-21,971,0,0,0
2020-03-22,842,0,0,0
2020-03-23,1633,0.000612369871402327,0.00010489184480154882,0.003358148194049758
2020-03-24,1771,0,0,0
2020-03-25,1639,0,0,0
2020-03-26,1680,0,0,0
2020-03-27,1690,0,0,0
2020-03-28,1356,0,0,0
2020-03-29,1248,0,0,0
2020-03-30,1788,0,0,0
2020-03-31,1838,0,0,0
2020-04-01,1865,0,0,0
2020-04-02,1528,0,0,0
2020-04-03,1627,0,0,0
2020-04-04,1226,0,0,0
2020-04-05,980,0,0,0
2020-04-06,1701,0,0,0
2020-04-07,1448,0,0,0
2020-04-08,1509,0,0,0
2020-04-09,1138,0,0,0
2020-04-10,1224,0,0,0
2020-04-11,1005,0,0,0
2020-04-12,844,0,0,0
2020-04-13,1306,0,0,0
2020-04-14,1215,0,0,0
2020-04-15,1136,0,0,0
2020-04-16,1123,0,0,0
2020-04-17,991,0.0010090817356205853,0.00016926263612468523,0.005410951218578834
2020-04-18,762,0,0,0
2020-04-19,644,0,0,0
2020-04-20,1097,0,0,0
2020-04-21,1040,0,0,0
2020-04-22,1062,0,0,0
2020-04-23,928,0,0,0
2020-04-24,908,0,0,0
2020-04-25,556,0,0,0
2020-04-26,470,0,0,0
2020-04-27,1029,0,0,0
2020-04-28,884,0,0,0
2020-04-29,1092,0.0009157509157509158,0.00015258329148000634,0.004879627821560739
2020-04-30,1093,0,0,0
2020-05-01,973,0,0,0
2020-05-02,600,0,0,0
2020-05-03,494,0,0,0
2020-05-04,995,0,0,0
2020-05-05,914,0,0,0
2020-05-06,771,0,0,0
2020-05-07,712,0,0,0
2020-05-08,641,0,0,0
2020-05-09,474,0,0,0
2020-05-10,446,0,0,0
2020-05-11,778,0,0,0
2020-05-12,759,0,0,0
2020-05-13,729,0,0,0
2020-05-14,760,0,0,0
2020-05-15,502,0,0,0
2020-05-16,292,0,0,0
2020-05-17,238,0,0,0
2020-05-18,569,0,0,0
2020-05-19,665,0,0,0
2020-05-20,492,0,0,0
2020-05-21,451,0,0,0
2020-05-22,600,0,0,0
2020-05-23,274,0,0,0
2020-05-24,263,0,0,0
2020-05-25,302,0,0,0
2020-05-26,519,0,0,0
2020-05-27,520,0,0,0
2020-05-28,332,0,0,0
2020-05-29,357,0,0,0
2020-05-30,274,0,0,0
2020-05-31,212,0,0,0
2020-06-01,494,0,0,0
2020-06-02,581,0,0,0
2020-06-03,376,0,0,0
2020-06-04,441,0,0,0
2020-06-05,380,0,0,0
2020-06-06,218,0,0,0
2020-06-07,353,0,0,0
2020-06-08,617,0,0,0
2020-06-09,524,0,0,0
2020-06-10,580,0,0,0
2020-06-11,744,0,0,0
2020-06-12,674,0,0,0
2020-06-13,628,0,0,0
2020-06-14,521,0,0,0
2020-06-15,822,0,0,0
2020-06-16,733,0,0,0
2020-06-17,649,0,0,0
2020-06-18,704,0,0,0
2020-06-19,711,0,0,0
2020-06-20,404,0,0,0
2020-06-21,447,0,0,0
2020-06-22,515,0,0,0
2020-06-23,599,0,0,0
2020-06-24,634,0,0,0
2020-06-25,555,0,0,0
2020-06-26,462,0,0,0
2020-06-27,371,0,0,0
2020-06-28,271,0,0,0
2020-06-29,584,0,0,0
2020-06-30,572,0,0,0
2020-07-01,617,0,0,0
2020-07-02,739,0,0,0
2020-07-03,507,0,0,0
2020-07-04,324,0,0,0
2020-07-05,291,0,0,0
2020-07-06,656,0,0,0
2020-07-07,721,0,0,0
2020-07-08,806,0,0,0
2020-07-09,742,0,0,0
2020-07-10,579,0,0,0
2020-07-11,394,0,0,0
2020-07-12,333,0,0,0
2020-07-13,703,0,0,0
2020-07-14,713,0,0,0
2020-07-15,926,0,0,0
2020-07-16,689,0,0,0
2020-07-17,695,0,0,0
2020-07-18,579,0,0,0
2020-07-19,432,0,0,0
2020-07-20,674,0,0,0
2020-07-21,769,0,0,0
2020-07-22,639,0,0,0
2020-07-23,818,0,0,0
2020-07-24,663,0,0,0
2020-07-25,469,0,0,0
2020-07-26,321,0,0,0
2020-07-27,821,0,0,0
2020-07-28,674,0,0,0
2020-07-29,680,0,0,0
2020-07-30,615,0,0,0
2020-07-31,568,0,0,0
2020-08-01,509,0,0,0
2020-08-02,437,0,0,0
2020-08-03,893,0,0,0
2020-08-04,747,0,0,0
2020-08-05,591,0,0,0
2020-08-06,701,0,0,0
2020-08-07,569,0,0,0
2020-08-08,398,0,0,0
2020-08-09,444,0,0,0
2020-08-10,799,0,0,0
2020-08-11,764,0,0,0
2020-08-12,686,0,0,0
2020-08-13,778,0,0,0
2020-08-14,706,0,0,0
2020-08-15,406,0,0,0
2020-08-16,366,0,0,0
2020-08-17,855,0,0,0
2020-08-18,780,0,0,0
2020-08-19,756,0.0013227513227513227,0.00022605371075461062,0.007216976831968914
2020-08-20,928,0,0,0
2020-08-21,761,0,0,0
2020-08-22,357,0.0028011204481792717,0.00048510981125034447,0.015395638858829386
2020-08-23,351,0,0,0
2020-08-24,664,0.0030120481927710845,0.000789507066634333,0.010431347559077703
2020-08-25,712,0,0,0
2020-08-26,963,0,0,0
2020-08-27,907,0,0,0
2020-08-28,744,0,0,0
2020-08-29,526,0,0,0
2020-08-30,631,0,0,0
2020-08-31,1011,0,0,0
2020-09-01,939,0,0,0
2020-09-02,757,0,0,0
2020-09-03,947,0,0,0
2020-09-04,794,0,0,0
2020-09-05,422,0,0,0
2020-09-06,312,0,0,0
2020-09-07,872,0,0,0
2020-09-08,809,0,0,0
2020-09-09,1357,0,0,0
2020-09-10,1648,0,0,0
2020-09-11,874,0,0,0
2020-09-12,375,0,0,0
2020-09-13,353,0,0,0
2020-09-14,812,0,0,0
2020-09-15,800,0,0,0
2020-09-16,2006,0,0,0
2020-09-17,952,0,0,0
2020-09-18,1229,0,0,0
2020-09-19,763,0,0,0
2020-09-20,660,0,0,0
2020-09-21,1428,0,0,0
2020-09-22,998,0,0,0
2020-09-23,1327,0,0,0
2020-09-24,2519,0,0,0
2020-09-25,1130,0,0,0
2020-09-26,478,0,0,0
2020-09-27,1063,0,0,0
2020-09-28,782,0,0,0
2020-09-29,1236,0,0,0
2020-09-30,1093,0,0,0
2020-10-01,2051,0,0,0
2020-10-02,1404,0,0,0
2020-10-03,1204,0,0,0
2020-10-04,638,0,0,0
2020-10-05,2234,0,0,0
2020-10-06,1942,0,0,0
2020-10-07,1980,0,0,0
2020-10-08,1812,0,0,0
2020-10-09,1521,0.0006574621959237344,0.00010924103479744484,0.0034970375050301533
2020-10-10,795,0,0,0
2020-10-11,974,0,0,0
2020-10-12,2108,0,0,0
2020-10-13,1547,0,0,0
2020-10-14,1913,0,0,0
2020-10-15,2494,0,0,0
2020-10-16,1466,0,0,0
2020-10-17,1194,0,0,0
2020-10-18,725,0,0,0
2020-10-19,1863,0,0,0
2020-10-20,2063,0.0004847309743092584,8.116323802493701e-05,0.0025998944395960524
2020-10-21,2415,0,0,0
2020-10-22,1942,0,0,0
2020-10-23,1440,0,0,0
2020-10-24,1498,0,0,0
2020-10-25,800,0,0,0
2020-10-26,2623,0,0,0
2020-10-27,1678,0,0,0
2020-10-28,1329,0,0,0
2020-10-29,2024,0.0004940711462450593,8.214526014367836e-05,0.002631291715433159
2020-10-30,2127,0,0,0
2020-10-31,950,0,0,0
2020-11-01,2443,0,0,0
2020-11-02,3611,0,0,0
2020-11-03,2125,0,0,0
2020-11-04,3186,0,0,0
2020-11-05,2907,0,0,0
2020-11-06,2250,0,0,0
2020-11-07,1704,0,0,0
2020-11-08,2559,0,0,0
2020-11-09,2840,0,0,0
2020-11-10,2193,0,0,0
2020-11-11,2545,0,0,0
2020-11-12,3164,0,0,0
2020-11-13,2823,0,0,0
2020-11-14,2601,0,0,0
2020-11-15,1456,0,0,0
2020-11-16,1607,0,0,0
2020-11-17,2056,0,0,0
2020-11-18,2876,0,0,0
2020-11-19,1284,0,0,0
2020-11-20,1811,0,0,0
2020-11-21,1387,0,0,0
2020-11-22,1666,0,0,0
2020-11-23,2123,0,0,0
2020-11-24,1658,0,0,0
2020-11-25,1625,0,0,0
2020-11-26,1073,0,0,0
2020-11-27,1531,0,0,0
2020-11-28,833,0,0,0
2020-11-29,787,0,0,0
2020-11-30,2297,0,0,0
2020-12-01,2489,0,0,0
2020-12-02,2150,0,0,0
2020-12-03,1830,0.000546448087431694,8.942809724673368e-05,0.0028640945711004184
2020-12-04,1519,0,0,0
2020-12-05,856,0,0,0
2020-12-06,1086,0,0,0
2020-12-07,2470,0,0,0
2020-12-08,2202,0,0,0
2020-12-09,2200,0,0,0
2020-12-10,4186,0,0,0
2020-12-11,3548,0,0,0
2020-12-12,2027,0,0,0
2020-12-13,1919,0,0,0
2020-12-14,3885,0,0,0
2020-12-15,4110,0.00024330900243309004,4.1100137931259163e-05,0.0013177775653086087
