date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,1,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,1,0,0,0
2020-01-13,1,0,0,0
2020-01-14,1,0,0,0
2020-01-15,0,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,9,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,12,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,19,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,22,0,0,0
2020-01-31,15,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0,0,0
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,33,0,0,0
2020-02-07,30,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,11,0,0,0
2020-02-13,15,0,0,0
2020-02-14,9,0,0,0
2020-02-15,39,0,0,0
2020-02-16,36,0,0,0
2020-02-17,47,0,0,0
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,16,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,31,0,0,0
2020-02-25,36,0,0,0
2020-02-26,29,0,0,0
2020-02-27,63,0,0,0
2020-02-28,66,0,0,0
2020-02-29,84,0,0,0
2020-03-01,150,0,0,0
2020-03-02,198,0,0,0
2020-03-03,220,0,0,0
2020-03-04,233,0,0,0
2020-03-05,245,0,0,0
2020-03-06,203,0,0,0
2020-03-07,176,0,0,0
2020-03-08,206,0,0,0
2020-03-09,380,0,0,0
2020-03-10,420,0,0,0
2020-03-11,522,0,0,0
2020-03-12,715,0,0,0
2020-03-13,807,0,0,0
2020-03-14,836,0,0,0
2020-03-15,982,0,0,0
2020-03-16,1239,0,0,0
2020-03-17,1171,0,0,0
2020-03-18,1161,0,0,0
2020-03-19,1142,0,0,0
2020-03-20,1124,0,0,0
2020-03-21,979,0,0,0
2020-03-22,855,0,0,0
2020-03-23,1657,0,0,0
2020-03-24,1782,0,0,0
2020-03-25,1645,0,0,0
2020-03-26,1695,0,0,0
2020-03-27,1690,0,0,0
2020-03-28,1359,0,0,0
2020-03-29,1259,0,0,0
2020-03-30,1811,0,0,0
2020-03-31,1887,0,0,0
2020-04-01,1885,0,0,0
2020-04-02,1574,0,0,0
2020-04-03,1674,0,0,0
2020-04-04,1253,0,0,0
2020-04-05,997,0,0,0
2020-04-06,1731,0,0,0
2020-04-07,1472,0,0,0
2020-04-08,1535,0,0,0
2020-04-09,1146,0,0,0
2020-04-10,1229,0,0,0
2020-04-11,1022,0,0,0
2020-04-12,857,0,0,0
2020-04-13,1330,0,0,0
2020-04-14,1225,0,0,0
2020-04-15,1156,0,0,0
2020-04-16,1118,0,0,0
2020-04-17,1007,0,0,0
2020-04-18,766,0,0,0
2020-04-19,665,0,0,0
2020-04-20,1107,0,0,0
2020-04-21,1071,0,0,0
2020-04-22,1093,0,0,0
2020-04-23,935,0,0,0
2020-04-24,920,0,0,0
2020-04-25,557,0,0,0
2020-04-26,471,0,0,0
2020-04-27,1048,0,0,0
2020-04-28,896,0,0,0
2020-04-29,1135,0,0,0
2020-04-30,1127,0,0,0
2020-05-01,1006,0,0,0
2020-05-02,609,0,0,0
2020-05-03,496,0,0,0
2020-05-04,1013,0,0,0
2020-05-05,953,0,0,0
2020-05-06,806,0,0,0
2020-05-07,748,0,0,0
2020-05-08,674,0,0,0
2020-05-09,506,0,0,0
2020-05-10,448,0,0,0
2020-05-11,789,0,0,0
2020-05-12,770,0,0,0
2020-05-13,765,0,0,0
2020-05-14,791,0,0,0
2020-05-15,526,0,0,0
2020-05-16,294,0,0,0
2020-05-17,249,0,0,0
2020-05-18,566,0,0,0
2020-05-19,677,0,0,0
2020-05-20,513,0,0,0
2020-05-21,478,0,0,0
2020-05-22,619,0,0,0
2020-05-23,280,0,0,0
2020-05-24,274,0,0,0
2020-05-25,305,0,0,0
2020-05-26,542,0,0,0
2020-05-27,540,0,0,0
2020-05-28,345,0,0,0
2020-05-29,382,0,0,0
2020-05-30,277,0,0,0
2020-05-31,217,0,0,0
2020-06-01,527,0,0,0
2020-06-02,597,0,0,0
2020-06-03,403,0,0,0
2020-06-04,450,0,0,0
2020-06-05,403,0,0,0
2020-06-06,223,0,0,0
2020-06-07,353,0,0,0
2020-06-08,626,0,0,0
2020-06-09,534,0,0,0
2020-06-10,597,0,0,0
2020-06-11,751,0,0,0
2020-06-12,683,0,0,0
2020-06-13,643,0,0,0
2020-06-14,550,0,0,0
2020-06-15,823,0,0,0
2020-06-16,748,0,0,0
2020-06-17,655,0,0,0
2020-06-18,710,0,0,0
2020-06-19,741,0,0,0
2020-06-20,424,0,0,0
2020-06-21,483,0,0,0
2020-06-22,568,0,0,0
2020-06-23,621,0,0,0
2020-06-24,706,0,0,0
2020-06-25,565,0,0,0
2020-06-26,471,0,0,0
2020-06-27,377,0,0,0
2020-06-28,276,0,0,0
2020-06-29,592,0,0,0
2020-06-30,587,0,0,0
2020-07-01,626,0,0,0
2020-07-02,747,0,0,0
2020-07-03,519,0,0,0
2020-07-04,327,0,0,0
2020-07-05,297,0,0,0
2020-07-06,667,0,0,0
2020-07-07,730,0,0,0
2020-07-08,813,0,0,0
2020-07-09,759,0,0,0
2020-07-10,571,0,0,0
2020-07-11,377,0,0,0
2020-07-12,317,0,0,0
2020-07-13,719,0,0,0
2020-07-14,737,0,0,0
2020-07-15,914,0,0,0
2020-07-16,715,0,0,0
2020-07-17,700,0,0,0
2020-07-18,582,0,0,0
2020-07-19,438,0,0,0
2020-07-20,683,0,0,0
2020-07-21,783,0,0,0
2020-07-22,644,0,0,0
2020-07-23,828,0,0,0
2020-07-24,668,0,0,0
2020-07-25,470,0,0,0
2020-07-26,324,0,0,0
2020-07-27,833,0,0,0
2020-07-28,689,0,0,0
2020-07-29,691,0,0,0
2020-07-30,624,0,0,0
2020-07-31,583,0,0,0
2020-08-01,529,0,0,0
2020-08-02,443,0,0,0
2020-08-03,912,0,0,0
2020-08-04,762,0,0,0
2020-08-05,603,0,0,0
2020-08-06,709,0,0,0
2020-08-07,583,0,0,0
2020-08-08,403,0,0,0
2020-08-09,449,0,0,0
2020-08-10,808,0,0,0
2020-08-11,761,0,0,0
2020-08-12,691,0,0,0
2020-08-13,787,0,0,0
2020-08-14,714,0,0,0
2020-08-15,413,0,0,0
2020-08-16,368,0,0,0
2020-08-17,867,0,0,0
2020-08-18,796,0,0,0
2020-08-19,774,0,0,0
2020-08-20,945,0.0010582010582010583,0.0001852496381957689,0.005919836093862703
2020-08-21,772,0,0,0
2020-08-22,363,0,0,0
2020-08-23,358,0,0,0
2020-08-24,679,0,0,0
2020-08-25,728,0,0,0
2020-08-26,983,0,0,0
2020-08-27,912,0,0,0
2020-08-28,752,0,0,0
2020-08-29,537,0,0,0
2020-08-30,644,0,0,0
2020-08-31,1042,0,0,0
2020-09-01,948,0.002109704641350211,0.0005720953463911474,0.007572131076729749
2020-09-02,770,0,0,0
2020-09-03,965,0,0,0
2020-09-04,810,0,0,0
2020-09-05,439,0,0,0
2020-09-06,317,0,0,0
2020-09-07,891,0,0,0
2020-09-08,833,0,0,0
2020-09-09,1383,0,0,0
2020-09-10,1669,0,0,0
2020-09-11,890,0,0,0
2020-09-12,385,0,0,0
2020-09-13,364,0,0,0
2020-09-14,839,0,0,0
2020-09-15,842,0,0,0
2020-09-16,2018,0,0,0
2020-09-17,978,0,0,0
2020-09-18,1260,0,0,0
2020-09-19,806,0,0,0
2020-09-20,686,0,0,0
2020-09-21,1482,0,0,0
2020-09-22,1043,0,0,0
2020-09-23,1345,0,0,0
2020-09-24,2610,0,0,0
2020-09-25,1142,0,0,0
2020-09-26,500,0,0,0
2020-09-27,1077,0,0,0
2020-09-28,823,0,0,0
2020-09-29,1261,0,0,0
2020-09-30,1136,0.0008802816901408451,0.00015324561639897905,0.004900734098468525
2020-10-01,2130,0,0,0
2020-10-02,1449,0,0,0
2020-10-03,1259,0,0,0
2020-10-04,687,0,0,0
2020-10-05,2261,0,0,0
2020-10-06,1988,0,0,0
2020-10-07,2007,0,0,0
2020-10-08,1858,0,0,0
2020-10-09,1552,0,0,0
2020-10-10,829,0,0,0
2020-10-11,1008,0,0,0
2020-10-12,2140,0,0,0
2020-10-13,1563,0.0006397952655150352,0.00010673107743381218,0.003416886619214649
2020-10-14,1947,0.0005136106831022085,8.915708609945676e-05,0.0028554328448708384
2020-10-15,2494,0.00040096230954290296,6.887574108551562e-05,0.002206917202273358
2020-10-16,1512,0,0,0
2020-10-17,1229,0,0,0
2020-10-18,751,0,0,0
2020-10-19,1929,0,0,0
2020-10-20,2133,0,0,0
2020-10-21,2491,0,0,0
2020-10-22,2012,0.0004970178926441351,8.68753683718713e-05,0.002782503074430359
2020-10-23,1493,0,0,0
2020-10-24,1532,0.0006527415143603133,0.00011258541167178144,0.003603819600130934
2020-10-25,817,0.0012239902080783353,0.00021270638372953806,0.006792940731981648
2020-10-26,2666,0,0,0
2020-10-27,1753,0.0011409013120365088,0.00030697066042166565,0.004071752728626255
2020-10-28,1395,0,0,0
2020-10-29,2102,0,0,0
2020-10-30,2189,0,0,0
2020-10-31,1015,0,0,0
2020-11-01,2535,0,0,0
2020-11-02,3684,0.0005428881650380022,0.00014697389466635462,0.0019520444363035664
2020-11-03,2220,0.00045045045045045046,7.87727565027945e-05,0.002523459846456808
2020-11-04,3286,0.0006086427267194157,0.0001647678385709214,0.002188059250481256
2020-11-05,2965,0.0003372681281618887,5.8881684292348196e-05,0.0018871237278519832
2020-11-06,2301,0.000434593654932638,7.569869960391552e-05,0.0024251558103936797
2020-11-07,1757,0,0,0
2020-11-08,2625,0,0,0
2020-11-09,2948,0,0,0
2020-11-10,2256,0,0,0
2020-11-11,2581,0.0003874467260751647,6.701909452861286e-05,0.0021475187306387515
2020-11-12,3226,0,0,0
2020-11-13,2936,0,0,0
2020-11-14,2665,0,0,0
2020-11-15,1489,0,0,0
2020-11-16,1693,0,0,0
2020-11-17,2108,0.0004743833017077799,8.218350501607703e-05,0.002632514454164561
2020-11-18,2920,0,0,0
2020-11-19,1347,0,0,0
2020-11-20,1866,0.0010718113612004287,0.0002878019831515188,0.003818088264500433
2020-11-21,1490,0,0,0
2020-11-22,1711,0,0,0
2020-11-23,2177,0,0,0
2020-11-24,1769,0,0,0
2020-11-25,1674,0,0,0
2020-11-26,1121,0,0,0
2020-11-27,1582,0,0,0
2020-11-28,902,0,0,0
2020-11-29,827,0,0,0
2020-11-30,2359,0,0,0
2020-12-01,2558,0,0,0
2020-12-02,2207,0,0,0
2020-12-03,1808,0,0,0
2020-12-04,1571,0.0006365372374283895,0.00010797147116311013,0.003456497480564745
2020-12-05,920,0,0,0
2020-12-06,1129,0,0,0
