date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,3,0,0,0
2020-01-13,1,0,0,0
2020-01-14,2,0,0,0
2020-01-15,2,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,9,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,19,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,21,0,0,0
2020-01-31,15,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0,0,0
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,33,0,0,0
2020-02-07,30,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,12,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,39,0,0,0
2020-02-16,36,0,0,0
2020-02-17,47,0,0,0
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,16,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,30,0,0,0
2020-02-25,35,0,0,0
2020-02-26,28,0,0,0
2020-02-27,62,0,0,0
2020-02-28,68,0,0,0
2020-02-29,84,0,0,0
2020-03-01,148,0,0,0
2020-03-02,195,0,0,0
2020-03-03,218,0,0,0
2020-03-04,226,0,0,0
2020-03-05,234,0,0,0
2020-03-06,210,0,0,0
2020-03-07,175,0,0,0
2020-03-08,212,0,0,0
2020-03-09,382,0,0,0
2020-03-10,424,0,0,0
2020-03-11,530,0,0,0
2020-03-12,723,0,0,0
2020-03-13,811,0,0,0
2020-03-14,838,0,0,0
2020-03-15,987,0,0,0
2020-03-16,1246,0,0,0
2020-03-17,1175,0,0,0
2020-03-18,1169,0,0,0
2020-03-19,1140,0,0,0
2020-03-20,1118,0,0,0
2020-03-21,978,0,0,0
2020-03-22,854,0,0,0
2020-03-23,1672,0,0,0
2020-03-24,1789,0,0,0
2020-03-25,1639,0,0,0
2020-03-26,1687,0,0,0
2020-03-27,1680,0,0,0
2020-03-28,1360,0,0,0
2020-03-29,1255,0,0,0
2020-03-30,1808,0,0,0
2020-03-31,1893,0,0,0
2020-04-01,1893,0,0,0
2020-04-02,1593,0,0,0
2020-04-03,1699,0,0,0
2020-04-04,1257,0,0,0
2020-04-05,1002,0,0,0
2020-04-06,1735,0,0,0
2020-04-07,1487,0,0,0
2020-04-08,1551,0,0,0
2020-04-09,1162,0,0,0
2020-04-10,1254,0.0007974481658692185,0.0001392249348980063,0.004453799856868515
2020-04-11,1040,0.0009615384615384616,0.00016845499014112746,0.005385232941577869
2020-04-12,863,0,0,0
2020-04-13,1353,0,0,0
2020-04-14,1245,0,0,0
2020-04-15,1188,0,0,0
2020-04-16,1141,0.0008764241893076249,0.00015231996177777902,0.004871236127030877
2020-04-17,1022,0,0,0
2020-04-18,779,0,0,0
2020-04-19,670,0,0,0
2020-04-20,1129,0,0,0
2020-04-21,1094,0,0,0
2020-04-22,1116,0,0,0
2020-04-23,956,0,0,0
2020-04-24,938,0,0,0
2020-04-25,569,0,0,0
2020-04-26,484,0,0,0
2020-04-27,1064,0,0,0
2020-04-28,912,0,0,0
2020-04-29,1141,0,0,0
2020-04-30,1138,0,0,0
2020-05-01,1019,0,0,0
2020-05-02,613,0,0,0
2020-05-03,513,0,0,0
2020-05-04,1020,0,0,0
2020-05-05,958,0,0,0
2020-05-06,819,0,0,0
2020-05-07,755,0,0,0
2020-05-08,680,0,0,0
2020-05-09,512,0,0,0
2020-05-10,456,0,0,0
2020-05-11,803,0,0,0
2020-05-12,777,0,0,0
2020-05-13,773,0,0,0
2020-05-14,796,0,0,0
2020-05-15,532,0,0,0
2020-05-16,301,0,0,0
2020-05-17,255,0,0,0
2020-05-18,579,0,0,0
2020-05-19,689,0,0,0
2020-05-20,514,0,0,0
2020-05-21,486,0,0,0
2020-05-22,623,0,0,0
2020-05-23,283,0,0,0
2020-05-24,276,0,0,0
2020-05-25,310,0,0,0
2020-05-26,545,0,0,0
2020-05-27,544,0,0,0
2020-05-28,347,0,0,0
2020-05-29,382,0,0,0
2020-05-30,282,0,0,0
2020-05-31,217,0,0,0
2020-06-01,528,0,0,0
2020-06-02,604,0,0,0
2020-06-03,407,0,0,0
2020-06-04,451,0,0,0
2020-06-05,407,0,0,0
2020-06-06,225,0,0,0
2020-06-07,356,0,0,0
2020-06-08,627,0,0,0
2020-06-09,539,0,0,0
2020-06-10,600,0,0,0
2020-06-11,751,0,0,0
2020-06-12,686,0,0,0
2020-06-13,645,0,0,0
2020-06-14,563,0,0,0
2020-06-15,843,0,0,0
2020-06-16,756,0,0,0
2020-06-17,664,0,0,0
2020-06-18,720,0,0,0
2020-06-19,744,0,0,0
2020-06-20,423,0,0,0
2020-06-21,483,0,0,0
2020-06-22,570,0,0,0
2020-06-23,620,0,0,0
2020-06-24,707,0,0,0
2020-06-25,572,0,0,0
2020-06-26,472,0,0,0
2020-06-27,376,0,0,0
2020-06-28,276,0,0,0
2020-06-29,596,0,0,0
2020-06-30,587,0,0,0
2020-07-01,627,0,0,0
2020-07-02,748,0.001336898395721925,0.00023291397886044592,0.007434821676425378
2020-07-03,520,0,0,0
2020-07-04,327,0,0,0
2020-07-05,297,0,0,0
2020-07-06,672,0,0,0
2020-07-07,727,0,0,0
2020-07-08,826,0,0,0
2020-07-09,759,0,0,0
2020-07-10,598,0,0,0
2020-07-11,416,0,0,0
2020-07-12,338,0,0,0
2020-07-13,729,0,0,0
2020-07-14,744,0,0,0
2020-07-15,940,0,0,0
2020-07-16,720,0,0,0
2020-07-17,706,0,0,0
2020-07-18,585,0,0,0
2020-07-19,440,0,0,0
2020-07-20,693,0,0,0
2020-07-21,788,0,0,0
2020-07-22,650,0,0,0
2020-07-23,831,0,0,0
2020-07-24,672,0,0,0
2020-07-25,470,0,0,0
2020-07-26,324,0,0,0
2020-07-27,833,0,0,0
2020-07-28,689,0,0,0
2020-07-29,692,0,0,0
2020-07-30,625,0,0,0
2020-07-31,583,0,0,0
2020-08-01,541,0,0,0
2020-08-02,444,0,0,0
2020-08-03,913,0,0,0
2020-08-04,762,0,0,0
2020-08-05,601,0,0,0
2020-08-06,712,0,0,0
2020-08-07,583,0,0,0
2020-08-08,404,0,0,0
2020-08-09,449,0,0,0
2020-08-10,810,0,0,0
2020-08-11,766,0,0,0
2020-08-12,694,0,0,0
2020-08-13,791,0,0,0
2020-08-14,717,0,0,0
2020-08-15,415,0,0,0
2020-08-16,369,0,0,0
2020-08-17,870,0,0,0
2020-08-18,797,0,0,0
2020-08-19,779,0,0,0
2020-08-20,947,0,0,0
2020-08-21,774,0,0,0
2020-08-22,363,0,0,0
2020-08-23,359,0,0,0
2020-08-24,686,0,0,0
2020-08-25,733,0,0,0
2020-08-26,989,0,0,0
2020-08-27,919,0,0,0
2020-08-28,758,0,0,0
2020-08-29,542,0,0,0
2020-08-30,651,0,0,0
2020-08-31,1046,0,0,0
2020-09-01,955,0,0,0
2020-09-02,775,0,0,0
2020-09-03,965,0,0,0
2020-09-04,820,0,0,0
2020-09-05,439,0,0,0
2020-09-06,319,0,0,0
2020-09-07,898,0,0,0
2020-09-08,842,0,0,0
2020-09-09,1386,0,0,0
2020-09-10,1677,0,0,0
2020-09-11,900,0,0,0
2020-09-12,389,0,0,0
2020-09-13,368,0,0,0
2020-09-14,852,0,0,0
2020-09-15,843,0,0,0
2020-09-16,1991,0,0,0
2020-09-17,987,0,0,0
2020-09-18,1271,0,0,0
2020-09-19,809,0,0,0
2020-09-20,693,0,0,0
2020-09-21,1492,0,0,0
2020-09-22,1058,0,0,0
2020-09-23,1351,0,0,0
2020-09-24,2640,0,0,0
2020-09-25,1145,0,0,0
2020-09-26,501,0,0,0
2020-09-27,1080,0,0,0
2020-09-28,825,0,0,0
2020-09-29,1276,0,0,0
2020-09-30,1145,0.0008733624454148472,0.00015324561639897905,0.004900734098468525
2020-10-01,2151,0.00046490004649000463,8.16512964901204e-05,0.0026154988552107247
2020-10-02,1458,0,0,0
2020-10-03,1269,0,0,0
2020-10-04,690,0,0,0
2020-10-05,2286,0,0,0
2020-10-06,2000,0,0,0
2020-10-07,2022,0,0,0
2020-10-08,1884,0,0,0
2020-10-09,1594,0,0,0
2020-10-10,832,0,0,0
2020-10-11,1014,0,0,0
2020-10-12,2149,0,0,0
2020-10-13,1603,0.0006238303181534623,0.00010673107743381218,0.003416886619214649
2020-10-14,1970,0.0010152284263959391,0.00027704404952140434,0.0036756908865742998
2020-10-15,2537,0,0,0
2020-10-16,1529,0,0,0
2020-10-17,1243,0,0,0
2020-10-18,759,0,0,0
2020-10-19,1941,0,0,0
2020-10-20,2152,0,0,0
2020-10-21,2512,0.0003980891719745223,6.988465917178104e-05,0.002239192715474916
2020-10-22,2025,0,0,0
2020-10-23,1514,0.0006605019815059445,0.0001148563475112375,0.0036763185532702573
2020-10-24,1539,0,0,0
2020-10-25,835,0,0,0
2020-10-26,2693,0,0,0
2020-10-27,1777,0,0,0
2020-10-28,1405,0,0,0
2020-10-29,2136,0.00046816479400749064,8.184057783976763e-05,0.002621550545322615
2020-10-30,2213,0,0,0
2020-10-31,1026,0,0,0
2020-11-01,2548,0,0,0
2020-11-02,3708,0.00026968716289104636,4.7300605182239016e-05,0.001516363121887988
2020-11-03,2227,0,0,0
2020-11-04,3307,0.0006047777441790142,0.0001647678385709214,0.002188059250481256
2020-11-05,2984,0,0,0
2020-11-06,2320,0,0,0
2020-11-07,1773,0,0,0
2020-11-08,2633,0.00037979491074819596,6.679086900796733e-05,0.0021402169096214753
2020-11-09,2989,0,0,0
2020-11-10,2292,0.0004363001745200698,7.661869841839593e-05,0.002454577550058969
2020-11-11,2616,0,0,0
2020-11-12,3243,0,0,0
2020-11-13,2957,0,0,0
2020-11-14,2681,0,0,0
2020-11-15,1504,0,0,0
2020-11-16,1720,0,0,0
2020-11-17,2134,0,0,0
2020-11-18,2946,0,0,0
2020-11-19,1363,0,0,0
2020-11-20,1887,0,0,0
2020-11-21,1507,0,0,0
2020-11-22,1732,0,0,0
2020-11-23,2208,0,0,0
2020-11-24,1792,0,0,0
2020-11-25,1679,0,0,0
2020-11-26,1140,0,0,0
2020-11-27,1595,0,0,0
2020-11-28,916,0,0,0
2020-11-29,836,0,0,0
2020-11-30,2404,0,0,0
2020-12-01,2588,0,0,0
2020-12-02,2240,0,0,0
2020-12-03,1897,0.0005271481286241434,8.920214049730955e-05,0.002856872825854012
2020-12-04,1618,0,0,0
2020-12-05,932,0,0,0
2020-12-06,1140,0,0,0
2020-12-07,2563,0,0,0
2020-12-08,2256,0,0,0
2020-12-09,2254,0,0,0
2020-12-10,4219,0,0,0
