date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,1,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,1,0,0,0
2020-01-13,1,0,0,0
2020-01-14,1,0,0,0
2020-01-15,0,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,9,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,19,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,21,0,0,0
2020-01-31,15,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0,0,0
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,33,0,0,0
2020-02-07,30,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,12,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,39,0,0,0
2020-02-16,36,0,0,0
2020-02-17,47,0,0,0
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,16,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,30,0,0,0
2020-02-25,35,0,0,0
2020-02-26,28,0,0,0
2020-02-27,62,0,0,0
2020-02-28,68,0,0,0
2020-02-29,83,0,0,0
2020-03-01,148,0,0,0
2020-03-02,194,0,0,0
2020-03-03,217,0,0,0
2020-03-04,226,0,0,0
2020-03-05,230,0,0,0
2020-03-06,209,0,0,0
2020-03-07,176,0,0,0
2020-03-08,210,0,0,0
2020-03-09,381,0,0,0
2020-03-10,422,0,0,0
2020-03-11,527,0,0,0
2020-03-12,723,0,0,0
2020-03-13,801,0,0,0
2020-03-14,838,0,0,0
2020-03-15,986,0,0,0
2020-03-16,1244,0,0,0
2020-03-17,1175,0,0,0
2020-03-18,1167,0,0,0
2020-03-19,1137,0,0,0
2020-03-20,1113,0,0,0
2020-03-21,977,0,0,0
2020-03-22,854,0,0,0
2020-03-23,1661,0,0,0
2020-03-24,1781,0,0,0
2020-03-25,1630,0.0006134969325153375,0.00010589867979353849,0.003390303473660146
2020-03-26,1677,0,0,0
2020-03-27,1674,0,0,0
2020-03-28,1351,0,0,0
2020-03-29,1245,0,0,0
2020-03-30,1791,0,0,0
2020-03-31,1880,0,0,0
2020-04-01,1883,0,0,0
2020-04-02,1590,0,0,0
2020-04-03,1690,0,0,0
2020-04-04,1251,0,0,0
2020-04-05,996,0,0,0
2020-04-06,1727,0,0,0
2020-04-07,1481,0,0,0
2020-04-08,1538,0,0,0
2020-04-09,1146,0,0,0
2020-04-10,1231,0,0,0
2020-04-11,1021,0,0,0
2020-04-12,857,0,0,0
2020-04-13,1336,0,0,0
2020-04-14,1226,0,0,0
2020-04-15,1160,0,0,0
2020-04-16,1115,0,0,0
2020-04-17,1004,0,0,0
2020-04-18,767,0,0,0
2020-04-19,657,0,0,0
2020-04-20,1111,0,0,0
2020-04-21,1068,0,0,0
2020-04-22,1097,0,0,0
2020-04-23,939,0,0,0
2020-04-24,915,0,0,0
2020-04-25,558,0,0,0
2020-04-26,471,0,0,0
2020-04-27,1054,0,0,0
2020-04-28,896,0,0,0
2020-04-29,1136,0,0,0
2020-04-30,1128,0,0,0
2020-05-01,1007,0,0,0
2020-05-02,606,0,0,0
2020-05-03,498,0,0,0
2020-05-04,1013,0,0,0
2020-05-05,951,0,0,0
2020-05-06,806,0,0,0
2020-05-07,742,0,0,0
2020-05-08,671,0,0,0
2020-05-09,505,0,0,0
2020-05-10,446,0,0,0
2020-05-11,794,0,0,0
2020-05-12,766,0,0,0
2020-05-13,766,0,0,0
2020-05-14,793,0,0,0
2020-05-15,526,0,0,0
2020-05-16,296,0,0,0
2020-05-17,248,0,0,0
2020-05-18,562,0,0,0
2020-05-19,675,0,0,0
2020-05-20,511,0,0,0
2020-05-21,476,0,0,0
2020-05-22,615,0,0,0
2020-05-23,277,0,0,0
2020-05-24,274,0,0,0
2020-05-25,307,0,0,0
2020-05-26,542,0,0,0
2020-05-27,535,0,0,0
2020-05-28,344,0,0,0
2020-05-29,379,0,0,0
2020-05-30,278,0,0,0
2020-05-31,215,0,0,0
2020-06-01,526,0,0,0
2020-06-02,593,0,0,0
2020-06-03,401,0,0,0
2020-06-04,451,0,0,0
2020-06-05,401,0,0,0
2020-06-06,224,0,0,0
2020-06-07,355,0,0,0
2020-06-08,626,0,0,0
2020-06-09,532,0,0,0
2020-06-10,595,0,0,0
2020-06-11,749,0,0,0
2020-06-12,682,0,0,0
2020-06-13,645,0,0,0
2020-06-14,563,0,0,0
2020-06-15,840,0,0,0
2020-06-16,752,0,0,0
2020-06-17,662,0,0,0
2020-06-18,718,0,0,0
2020-06-19,742,0,0,0
2020-06-20,422,0,0,0
2020-06-21,483,0,0,0
2020-06-22,568,0,0,0
2020-06-23,619,0,0,0
2020-06-24,706,0,0,0
2020-06-25,568,0,0,0
2020-06-26,470,0,0,0
2020-06-27,376,0,0,0
2020-06-28,276,0,0,0
2020-06-29,594,0,0,0
2020-06-30,583,0,0,0
2020-07-01,625,0,0,0
2020-07-02,746,0,0,0
2020-07-03,519,0,0,0
2020-07-04,327,0,0,0
2020-07-05,296,0,0,0
2020-07-06,668,0,0,0
2020-07-07,714,0,0,0
2020-07-08,817,0,0,0
2020-07-09,758,0,0,0
2020-07-10,587,0,0,0
2020-07-11,406,0,0,0
2020-07-12,331,0,0,0
2020-07-13,722,0,0,0
2020-07-14,735,0,0,0
2020-07-15,935,0,0,0
2020-07-16,715,0,0,0
2020-07-17,702,0,0,0
2020-07-18,581,0,0,0
2020-07-19,438,0,0,0
2020-07-20,689,0,0,0
2020-07-21,783,0,0,0
2020-07-22,646,0,0,0
2020-07-23,829,0,0,0
2020-07-24,670,0,0,0
2020-07-25,469,0,0,0
2020-07-26,324,0,0,0
2020-07-27,831,0,0,0
2020-07-28,688,0,0,0
2020-07-29,689,0,0,0
2020-07-30,622,0,0,0
2020-07-31,583,0,0,0
2020-08-01,536,0,0,0
2020-08-02,443,0,0,0
2020-08-03,910,0,0,0
2020-08-04,760,0,0,0
2020-08-05,603,0,0,0
2020-08-06,709,0,0,0
2020-08-07,582,0,0,0
2020-08-08,403,0,0,0
2020-08-09,449,0,0,0
2020-08-10,804,0,0,0
2020-08-11,763,0,0,0
2020-08-12,692,0,0,0
2020-08-13,780,0,0,0
2020-08-14,713,0,0,0
2020-08-15,411,0,0,0
2020-08-16,369,0,0,0
2020-08-17,868,0,0,0
2020-08-18,796,0,0,0
2020-08-19,772,0,0,0
2020-08-20,939,0,0,0
2020-08-21,770,0,0,0
2020-08-22,362,0,0,0
2020-08-23,356,0,0,0
2020-08-24,680,0,0,0
2020-08-25,726,0,0,0
2020-08-26,984,0,0,0
2020-08-27,907,0,0,0
2020-08-28,753,0,0,0
2020-08-29,535,0,0,0
2020-08-30,646,0,0,0
2020-08-31,1041,0,0,0
2020-09-01,949,0,0,0
2020-09-02,770,0,0,0
2020-09-03,961,0,0,0
2020-09-04,814,0,0,0
2020-09-05,439,0,0,0
2020-09-06,317,0,0,0
2020-09-07,893,0,0,0
2020-09-08,837,0,0,0
2020-09-09,1383,0,0,0
2020-09-10,1669,0,0,0
2020-09-11,892,0,0,0
2020-09-12,387,0,0,0
2020-09-13,364,0,0,0
2020-09-14,840,0,0,0
2020-09-15,839,0,0,0
2020-09-16,1987,0,0,0
2020-09-17,974,0,0,0
2020-09-18,1265,0,0,0
2020-09-19,807,0,0,0
2020-09-20,687,0,0,0
2020-09-21,1482,0,0,0
2020-09-22,1044,0,0,0
2020-09-23,1336,0,0,0
2020-09-24,2607,0,0,0
2020-09-25,1137,0,0,0
2020-09-26,502,0,0,0
2020-09-27,1077,0,0,0
2020-09-28,822,0,0,0
2020-09-29,1272,0,0,0
2020-09-30,1134,0,0,0
2020-10-01,2126,0,0,0
2020-10-02,1453,0,0,0
2020-10-03,1261,0,0,0
2020-10-04,689,0,0,0
2020-10-05,2261,0,0,0
2020-10-06,1989,0,0,0
2020-10-07,2009,0,0,0
2020-10-08,1865,0,0,0
2020-10-09,1559,0,0,0
2020-10-10,829,0,0,0
2020-10-11,1012,0,0,0
2020-10-12,2141,0,0,0
2020-10-13,1575,0,0,0
2020-10-14,1955,0,0,0
2020-10-15,2496,0,0,0
2020-10-16,1508,0.000663129973474801,0.00011389295940461042,0.003645563602963136
2020-10-17,1232,0,0,0
2020-10-18,756,0,0,0
2020-10-19,1924,0,0,0
2020-10-20,2144,0.0004664179104477612,8.116323802493701e-05,0.0025998944395960524
2020-10-21,2496,0,0,0
2020-10-22,2020,0,0,0
2020-10-23,1505,0,0,0
2020-10-24,1524,0,0,0
2020-10-25,828,0,0,0
2020-10-26,2679,0,0,0
2020-10-27,1765,0.0005665722379603399,9.834661059018712e-05,0.0031490766200044356
2020-10-28,1399,0,0,0
2020-10-29,2108,0,0,0
2020-10-30,2181,0.0009170105456212746,0.00024576050280238114,0.003261464695977353
2020-10-31,1018,0,0,0
2020-11-01,2534,0,0,0
2020-11-02,3683,0,0,0
2020-11-03,2219,0,0,0
2020-11-04,3289,0.0006080875646093037,0.0001647678385709214,0.002188059250481256
2020-11-05,2956,0,0,0
2020-11-06,2305,0,0,0
2020-11-07,1757,0,0,0
2020-11-08,2621,0,0,0
2020-11-09,2966,0.00033715441672285906,5.878364215590632e-05,0.001883985807355501
2020-11-10,2276,0,0,0
2020-11-11,2604,0.0007680491551459293,0.00020824818546898012,0.002764485279648865
2020-11-12,3226,0,0,0
2020-11-13,2915,0,0,0
2020-11-14,2662,0,0,0
2020-11-15,1472,0,0,0
2020-11-16,1702,0,0,0
2020-11-17,2104,0,0,0
2020-11-18,2909,0.00034376074252320387,5.961748747914875e-05,0.001910673269369379
2020-11-19,1341,0,0,0
2020-11-20,1868,0,0,0
2020-11-21,1485,0,0,0
2020-11-22,1708,0,0,0
2020-11-23,2181,0,0,0
2020-11-24,1766,0,0,0
2020-11-25,1666,0,0,0
2020-11-26,1124,0,0,0
2020-11-27,1574,0,0,0
2020-11-28,906,0,0,0
2020-11-29,822,0,0,0
2020-11-30,2378,0.00042052144659377626,7.270551796741623e-05,0.0023294246207718828
2020-12-01,2576,0,0,0
2020-12-02,2225,0,0,0
2020-12-03,1863,0,0,0
2020-12-04,1588,0.0006297229219143577,0.0001076422650435794,0.003445984799753904
2020-12-05,930,0,0,0
2020-12-06,1130,0,0,0
2020-12-07,2543,0,0,0
2020-12-08,2237,0,0,0
2020-12-09,2235,0,0,0
2020-12-10,4187,0,0,0
2020-12-11,3580,0,0,0
2020-12-12,2057,0,0,0
2020-12-13,1951,0,0,0
2020-12-14,3972,0.00025176233635448137,4.347915920298899e-05,0.0013939784424909349
2020-12-15,4190,0.00023866348448687351,4.1100137931259163e-05,0.0013177775653086087
