date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,25,0,0,0
2020-01-13,1,0,0,0
2020-01-14,11,0,0,0
2020-01-15,19,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,23,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,20,0,0,0
2020-01-28,11,0,0,0
2020-01-29,45,0,0,0
2020-01-30,22,0,0,0
2020-01-31,15,0,0,0
2020-02-01,17,0,0,0
2020-02-02,18,0,0,0
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,31,0,0,0
2020-02-07,29,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,12,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,37,0,0,0
2020-02-16,36,0,0,0
2020-02-17,46,0,0,0
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,17,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,30,0,0,0
2020-02-25,35,0,0,0
2020-02-26,29,0,0,0
2020-02-27,63,0,0,0
2020-02-28,68,0,0,0
2020-02-29,83,0,0,0
2020-03-01,151,0,0,0
2020-03-02,204,0,0,0
2020-03-03,226,0,0,0
2020-03-04,233,0,0,0
2020-03-05,244,0,0,0
2020-03-06,208,0,0,0
2020-03-07,176,0,0,0
2020-03-08,210,0,0,0
2020-03-09,382,0,0,0
2020-03-10,424,0,0,0
2020-03-11,525,0,0,0
2020-03-12,717,0,0,0
2020-03-13,810,0,0,0
2020-03-14,836,0,0,0
2020-03-15,983,0,0,0
2020-03-16,1240,0,0,0
2020-03-17,1178,0.0008488964346349745,0.00014948220577074576,0.004780797082194835
2020-03-18,1166,0.0008576329331046312,0.00015050179967162315,0.0048132928180577295
2020-03-19,1153,0,0,0
2020-03-20,1114,0,0,0
2020-03-21,977,0,0,0
2020-03-22,858,0.0011655011655011655,0.0002033930270406053,0.006496906660425557
2020-03-23,1665,0,0,0
2020-03-24,1794,0,0,0
2020-03-25,1657,0.0006035003017501509,0.00010589867979353849,0.003390303473660146
2020-03-26,1697,0,0,0
2020-03-27,1703,0,0,0
2020-03-28,1372,0,0,0
2020-03-29,1263,0,0,0
2020-03-30,1821,0.0005491488193300384,9.620267089122248e-05,0.0030805799296329335
2020-03-31,1894,0.0015839493136219642,0.0005306910925746544,0.004576942041358097
2020-04-01,1894,0.0010559662090813093,0.00028466507504109744,0.00377656915566949
2020-04-02,1596,0,0,0
2020-04-03,1697,0,0,0
2020-04-04,1254,0.0007974481658692185,0.00013867804388684413,0.004436360864619897
2020-04-05,998,0.003006012024048096,0.001014674295921399,0.008731012552392236
2020-04-06,1734,0.0005767012687427913,0.00010081808761152537,0.003228029370757366
2020-04-07,1469,0,0,0
2020-04-08,1527,0.0013097576948264572,0.0003500766059139162,0.0046418971233277845
2020-04-09,1150,0,0,0
2020-04-10,1247,0.0016038492381716118,0.0004326465677377456,0.0057329010916563165
2020-04-11,1021,0,0,0
2020-04-12,846,0,0,0
2020-04-13,1343,0.0007446016381236039,0.00012904675415087671,0.004129170812658585
2020-04-14,1243,0.0016090104585679806,0.00042926039869030554,0.00568818812225019
2020-04-15,1171,0.0008539709649871904,0.00014699265392317698,0.004701445514214445
2020-04-16,1135,0.000881057268722467,0.00015231996177777902,0.004871236127030877
2020-04-17,1019,0.002944062806673209,0.0009786617720992583,0.008422569512557368
2020-04-18,773,0,0,0
2020-04-19,662,0,0,0
2020-04-20,1127,0.0008873114463176575,0.00015324561639897905,0.004900734098468525
2020-04-21,1061,0.000942507068803016,0.0001600542080626585,0.005117665747529904
2020-04-22,1093,0,0,0
2020-04-23,942,0.0010615711252653928,0.0001821904304755492,0.0058224870010816525
2020-04-24,920,0.003260869565217391,0.001075651225735465,0.009253032996280029
2020-04-25,567,0,0,0
2020-04-26,478,0,0,0
2020-04-27,1052,0,0,0
2020-04-28,904,0,0,0
2020-04-29,1125,0,0,0
2020-04-30,1124,0,0,0
2020-05-01,1009,0,0,0
2020-05-02,603,0,0,0
2020-05-03,505,0,0,0
2020-05-04,1001,0,0,0
2020-05-05,933,0,0,0
2020-05-06,811,0,0,0
2020-05-07,738,0,0,0
2020-05-08,675,0,0,0
2020-05-09,504,0,0,0
2020-05-10,455,0,0,0
2020-05-11,799,0,0,0
2020-05-12,786,0,0,0
2020-05-13,771,0,0,0
2020-05-14,793,0,0,0
2020-05-15,526,0.005703422053231939,0.001887618545864173,0.01617561304291319
2020-05-16,294,0,0,0
2020-05-17,248,0.008064516129032258,0.0020878849077426926,0.02729883740242184
2020-05-18,575,0,0,0
2020-05-19,685,0,0,0
2020-05-20,503,0,0,0
2020-05-21,476,0,0,0
2020-05-22,607,0,0,0
2020-05-23,277,0,0,0
2020-05-24,276,0,0,0
2020-05-25,305,0.003278688524590164,0.000557062674667276,0.01765005261212845
2020-05-26,534,0,0,0
2020-05-27,530,0.0018867924528301887,0.0003210176102927152,0.010226402446272195
2020-05-28,352,0,0,0
2020-05-29,373,0,0,0
2020-05-30,281,0,0,0
2020-05-31,214,0,0,0
2020-06-01,520,0.0019230769230769232,0.00032817949988412433,0.01045283103898923
2020-06-02,601,0.0016638935108153079,0.0002899110684848352,0.009242078926972392
2020-06-03,400,0,0,0
2020-06-04,449,0,0,0
2020-06-05,408,0,0,0
2020-06-06,221,0,0,0
2020-06-07,356,0,0,0
2020-06-08,623,0,0,0
2020-06-09,537,0,0,0
2020-06-10,599,0,0,0
2020-06-11,749,0,0,0
2020-06-12,687,0,0,0
2020-06-13,643,0,0,0
2020-06-14,565,0,0,0
2020-06-15,853,0,0,0
2020-06-16,744,0,0,0
2020-06-17,667,0,0,0
2020-06-18,718,0.001392757660167131,0.0002408591786533142,0.007687031971900617
2020-06-19,742,0.0013477088948787063,0.00023539880411167977,0.0075137092313164525
2020-06-20,423,0,0,0
2020-06-21,481,0,0,0
2020-06-22,569,0,0,0
2020-06-23,615,0.0016260162601626016,0.0002824878770914684,0.009006973888796795
2020-06-24,700,0.0014285714285714286,0.0002486630175622569,0.007934665048496095
2020-06-25,570,0.0017543859649122807,0.00030652412180214744,0.009767951390130767
2020-06-26,476,0,0,0
2020-06-27,378,0,0,0
2020-06-28,275,0,0,0
2020-06-29,594,0,0,0
2020-06-30,586,0,0,0
2020-07-01,622,0,0,0
2020-07-02,748,0,0,0
2020-07-03,520,0,0,0
2020-07-04,325,0,0,0
2020-07-05,296,0,0,0
2020-07-06,670,0.0014925373134328358,0.00026040146505072097,0.0083069842738071
2020-07-07,718,0,0,0
2020-07-08,821,0,0,0
2020-07-09,750,0.0013333333333333333,0.00023199564057308197,0.007405664235667959
2020-07-10,593,0,0,0
2020-07-11,413,0,0,0
2020-07-12,336,0,0,0
2020-07-13,724,0,0,0
2020-07-14,723,0,0,0
2020-07-15,923,0,0,0
2020-07-16,713,0.002805049088359046,0.0007610242788973206,0.010057339347031432
2020-07-17,701,0,0,0
2020-07-18,584,0,0,0
2020-07-19,440,0,0,0
2020-07-20,690,0,0,0
2020-07-21,779,0.0012836970474967907,0.00022235200327456268,0.007099402089267115
2020-07-22,648,0.0015432098765432098,0.00027078754142834805,0.008636241228933276
2020-07-23,826,0.0012106537530266344,0.00021168605802659925,0.006760514892606551
2020-07-24,667,0.0029985007496251873,0.0008117076233362881,0.010722743931261134
2020-07-25,467,0.0021413276231263384,0.00037408102757241626,0.01190227312053065
2020-07-26,324,0,0,0
2020-07-27,826,0.0012106537530266344,0.00021042433427758623,0.006720415339511652
2020-07-28,672,0.001488095238095238,0.0002562433662897629,0.008175121032152826
2020-07-29,684,0.0043859649122807015,0.0014669394851624172,0.012595671254182027
2020-07-30,623,0,0,0
2020-07-31,580,0,0,0
2020-08-01,544,0,0,0
2020-08-02,440,0,0,0
2020-08-03,911,0,0,0
2020-08-04,749,0.0026702269692923898,0.000715364052584751,0.009457413337737725
2020-08-05,599,0.00333889816360601,0.0009040250788711478,0.011933345525881376
2020-08-06,711,0.0028129395218002813,0.0007652717338819123,0.010113123741628934
2020-08-07,577,0,0,0
2020-08-08,400,0,0,0
2020-08-09,450,0,0,0
2020-08-10,802,0.0012468827930174563,0.00021688797948147558,0.006925815448664023
2020-08-11,753,0,0,0
2020-08-12,687,0,0,0
2020-08-13,789,0,0,0
2020-08-14,713,0,0,0
2020-08-15,416,0,0,0
2020-08-16,369,0,0,0
2020-08-17,870,0,0,0
2020-08-18,792,0,0,0
2020-08-19,773,0,0,0
2020-08-20,944,0,0,0
2020-08-21,770,0,0,0
2020-08-22,362,0,0,0
2020-08-23,359,0,0,0
2020-08-24,685,0,0,0
2020-08-25,732,0,0,0
2020-08-26,984,0.0020325203252032522,0.0005497319100781492,0.007277453545187433
2020-08-27,904,0,0,0
2020-08-28,746,0,0,0
2020-08-29,533,0,0,0
2020-08-30,648,0,0,0
2020-08-31,1034,0,0,0
2020-09-01,937,0,0,0
2020-09-02,769,0,0,0
2020-09-03,952,0,0,0
2020-09-04,813,0,0,0
2020-09-05,438,0,0,0
2020-09-06,316,0,0,0
2020-09-07,891,0,0,0
2020-09-08,842,0,0,0
2020-09-09,1385,0.001444043321299639,0.000394097557078276,0.005223731858523036
2020-09-10,1665,0,0,0
2020-09-11,888,0.0022522522522522522,0.0006069140731137868,0.008030716103780507
2020-09-12,390,0,0,0
2020-09-13,363,0,0,0
2020-09-14,845,0.001183431952662722,0.00020672782155959282,0.006602920952759582
2020-09-15,836,0,0,0
2020-09-16,2010,0,0,0
2020-09-17,971,0.003089598352214212,0.0010300404346125869,0.008862589708718773
2020-09-18,1261,0.0023790642347343376,0.0007998858301257183,0.006889815770447352
2020-09-19,802,0,0,0
2020-09-20,691,0,0,0
2020-09-21,1492,0.0013404825737265416,0.0003652295453872637,0.004842223881321097
2020-09-22,1042,0.0028790786948176585,0.0009611444611993957,0.008272497761059521
2020-09-23,1342,0.0007451564828614009,0.00012923571231976833,0.004135198949322863
2020-09-24,2632,0,0,0
2020-09-25,1132,0,0,0
2020-09-26,498,0,0,0
2020-09-27,1076,0,0,0
2020-09-28,818,0,0,0
2020-09-29,1279,0,0,0
2020-09-30,1116,0,0,0
2020-10-01,2133,0.00046882325363338024,8.16512964901204e-05,0.0026154988552107247
2020-10-02,1450,0,0,0
2020-10-03,1272,0,0,0
2020-10-04,691,0,0,0
2020-10-05,2274,0.00043975373790677223,7.661869841839593e-05,0.002454577550058969
2020-10-06,1996,0,0,0
2020-10-07,2015,0.0009925558312655087,0.00026968776757792245,0.0035783051284351925
2020-10-08,1870,0.0010695187165775401,0.00028719915785540466,0.0038101096267378442
