date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,25,0,0,0
2020-01-13,1,0,0,0
2020-01-14,11,0,0,0
2020-01-15,19,0,0,0
2020-01-16,9,0.1111111111111111,0.019890371327130518,0.4350062147680602
2020-01-17,2,0,0,0
2020-01-19,23,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,20,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,22,0,0,0
2020-01-31,15,0,0,0
2020-02-01,17,0,0,0
2020-02-02,18,0,0,0
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,31,0,0,0
2020-02-07,29,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,12,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,37,0,0,0
2020-02-16,36,0,0,0
2020-02-17,47,0,0,0
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,17,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,30,0,0,0
2020-02-25,35,0,0,0
2020-02-26,29,0,0,0
2020-02-27,63,0,0,0
2020-02-28,67,0,0,0
2020-02-29,83,0,0,0
2020-03-01,152,0,0,0
2020-03-02,205,0,0,0
2020-03-03,225,0,0,0
2020-03-04,234,0,0,0
2020-03-05,244,0,0,0
2020-03-06,209,0,0,0
2020-03-07,176,0,0,0
2020-03-08,210,0,0,0
2020-03-09,383,0,0,0
2020-03-10,423,0,0,0
2020-03-11,529,0,0,0
2020-03-12,722,0,0,0
2020-03-13,813,0,0,0
2020-03-14,839,0,0,0
2020-03-15,983,0,0,0
2020-03-16,1247,0,0,0
2020-03-17,1180,0,0,0
2020-03-18,1169,0,0,0
2020-03-19,1154,0,0,0
2020-03-20,1119,0,0,0
2020-03-21,981,0.0010193679918450561,0.00017814533524065202,0.005693744219840278
2020-03-22,862,0.001160092807424594,0.0002033930270406053,0.006496906660425557
2020-03-23,1668,0.001199040767386091,0.0003259432556881492,0.004322744564199622
2020-03-24,1801,0,0,0
2020-03-25,1655,0.0006042296072507553,0.00010589867979353849,0.003390303473660146
2020-03-26,1704,0,0,0
2020-03-27,1707,0.0011716461628588166,0.00032079584250577746,0.00425465617126259
2020-03-28,1371,0,0,0
2020-03-29,1264,0,0,0
2020-03-30,1825,0.000547945205479452,9.620267089122248e-05,0.0030805799296329335
2020-03-31,1910,0,0,0
2020-04-01,1914,0,0,0
2020-04-02,1599,0,0,0
2020-04-03,1701,0,0,0
2020-04-04,1262,0,0,0
2020-04-05,1000,0,0,0
2020-04-06,1737,0,0,0
2020-04-07,1480,0,0,0
2020-04-08,1546,0.0019404915912031048,0.0006512952166291896,0.0056138813613274925
2020-04-09,1166,0,0,0
2020-04-10,1253,0,0,0
2020-04-11,1033,0.000968054211035818,0.00016845499014112746,0.005385232941577869
2020-04-12,863,0.0011587485515643105,0.00020315893963282114,0.0064894643267192865
2020-04-13,1349,0,0,0
2020-04-14,1248,0,0,0
2020-04-15,1182,0,0,0
2020-04-16,1150,0,0,0
2020-04-17,1022,0,0,0
2020-04-18,778,0.0012853470437017994,0.00022179324314352766,0.0070816528391807725
2020-04-19,671,0.0014903129657228018,0.00025811682884299876,0.008234536130791894
2020-04-20,1132,0,0,0
2020-04-21,1084,0,0,0
2020-04-22,1105,0.0027149321266968325,0.0009056854705208591,0.0077972133262690715
2020-04-23,948,0.002109704641350211,0.0005661894643547251,0.007494321105916938
2020-04-24,932,0,0,0
2020-04-25,569,0.0017574692442882249,0.00030920880210447447,0.009852894984399493
2020-04-26,483,0,0,0
2020-04-27,1056,0,0,0
2020-04-28,917,0,0,0
2020-04-29,1134,0.0008818342151675485,0.00015258329148000634,0.004879627821560739
2020-04-30,1124,0.0008896797153024911,0.00015179601973555102,0.004854539030368936
2020-05-01,1020,0.000980392156862745,0.00017024209307715972,0.005442139272156512
2020-05-02,607,0,0,0
2020-05-03,510,0,0,0
2020-05-04,1008,0,0,0
2020-05-05,960,0.0020833333333333333,0.0005586916976709892,0.007395527316823834
2020-05-06,813,0,0,0
2020-05-07,747,0.0013386880856760374,0.000232607059345355,0.0074250770522710004
2020-05-08,678,0.0014749262536873156,0.0002547640642659631,0.008128202739093652
2020-05-09,506,0,0,0
2020-05-10,456,0.0021929824561403508,0.00037889879952919455,0.012054227598814414
2020-05-11,809,0,0,0
2020-05-12,785,0,0,0
2020-05-13,772,0,0,0
2020-05-14,801,0.0012484394506866417,0.00021769040008538378,0.006951310298946182
2020-05-15,533,0,0,0
2020-05-16,297,0,0,0
2020-05-17,253,0,0,0
2020-05-18,579,0,0,0
2020-05-19,687,0,0,0
2020-05-20,507,0,0,0
2020-05-21,484,0,0,0
2020-05-22,619,0,0,0
2020-05-23,279,0,0,0
2020-05-24,276,0,0,0
2020-05-25,309,0.006472491909385114,0.0017318683052554198,0.022708852598767
2020-05-26,542,0,0,0
2020-05-27,538,0.0037174721189591076,0.0009977682574326171,0.01316079260184556
2020-05-28,350,0.002857142857142857,0.00048114299958493316,0.015271135061991762
2020-05-29,382,0,0,0
2020-05-30,277,0,0,0
2020-05-31,212,0,0,0
2020-06-01,525,0.0038095238095238095,0.001020036257490353,0.013452089913700636
2020-06-02,603,0,0,0
2020-06-03,403,0,0,0
2020-06-04,450,0.008888888888888889,0.0033573246385312796,0.021953806308353307
2020-06-05,413,0.002421307506053269,0.0004224215813294691,0.013425430313789457
2020-06-06,220,0,0,0
2020-06-07,354,0,0,0
2020-06-08,625,0,0,0
2020-06-09,540,0.005555555555555556,0.0018668943314681839,0.015999584888692384
2020-06-10,599,0,0,0
2020-06-11,749,0,0,0
2020-06-12,685,0.00291970802919708,0.0007929313324548289,0.010476300055838139
2020-06-13,644,0,0,0
2020-06-14,565,0.0017699115044247787,0.00031029588817714694,0.009887287527552437
2020-06-15,851,0.0011750881316098707,0.00020552434327842495,0.0065646638349457125
2020-06-16,745,0,0,0
2020-06-17,667,0,0,0
2020-06-18,718,0,0,0
2020-06-19,741,0.001349527665317139,0.00023539880411167977,0.0075137092313164525
2020-06-20,423,0.002364066193853428,0.00041546202496947426,0.0132063507842356
2020-06-21,481,0,0,0
2020-06-22,570,0.0017543859649122807,0.0003075923801418653,0.00980175246453529
2020-06-23,620,0,0,0
2020-06-24,700,0.0014285714285714286,0.0002486630175622569,0.007934665048496095
2020-06-25,575,0.0034782608695652175,0.0009527056381496142,0.012570987729142417
2020-06-26,476,0.008403361344537815,0.0032656932912722824,0.021361127682620162
2020-06-27,378,0,0,0
2020-06-28,274,0.0072992700729927005,0.0019609785266548126,0.02566569776040107
2020-06-29,596,0.0016778523489932886,0.00029426063054771844,0.009379799586568824
2020-06-30,587,0.0034071550255536627,0.0009300870738511577,0.012274781025655511
2020-07-01,629,0,0,0
2020-07-02,753,0.0013280212483399733,0.00023291397886044592,0.007434821676425378
2020-07-03,520,0,0,0
2020-07-04,326,0,0,0
2020-07-05,296,0.0033783783783783786,0.0005945909373711849,0.01882293642586581
2020-07-06,673,0.0014858841010401188,0.00026040146505072097,0.0083069842738071
2020-07-07,735,0.0027210884353741495,0.0007404751414446038,0.00978740085259225
2020-07-08,829,0,0,0
2020-07-09,758,0,0,0
2020-07-10,600,0,0,0
2020-07-11,416,0,0,0
2020-07-12,336,0,0,0
2020-07-13,727,0,0,0
2020-07-14,731,0,0,0
2020-07-15,936,0.005341880341880342,0.002266824071491457,0.012351883006862517
2020-07-16,720,0.001388888888888889,0.0002448686178898776,0.00781427147561469
2020-07-17,706,0.00424929178470255,0.0014420584191124307,0.012383489287006458
2020-07-18,583,0,0,0
2020-07-19,440,0.0022727272727272726,0.0004012945662938918,0.012760157627461716
2020-07-20,690,0.0014492753623188406,0.0002547640642659631,0.008128202739093652
2020-07-21,791,0,0,0
2020-07-22,651,0,0,0
2020-07-23,829,0,0,0
2020-07-24,672,0.001488095238095238,0.00026117202447332945,0.008331417778798492
2020-07-25,468,0.002136752136752137,0.00037408102757241626,0.01190227312053065
2020-07-26,325,0,0,0
2020-07-27,834,0.001199040767386091,0.00021042433427758623,0.006720415339511652
2020-07-28,679,0,0,0
2020-07-29,688,0,0,0
2020-07-30,623,0,0,0
2020-07-31,580,0,0,0
2020-08-01,546,0,0,0
2020-08-02,442,0,0,0
2020-08-03,913,0.0032858707557502738,0.001110784206892416,0.009553667850752148
2020-08-04,758,0.0013192612137203166,0.0002301805190878874,0.00734803010161551
2020-08-05,602,0,0,0
2020-08-06,714,0.0014005602240896359,0.00024623492659395815,0.007857625893869234
2020-08-07,581,0,0,0
2020-08-08,407,0,0,0
2020-08-09,450,0.0022222222222222222,0.0003923744587673656,0.012479076725963168
2020-08-10,806,0.0037220843672456576,0.0012541557903994255,0.010779470280957179
2020-08-11,766,0.006527415143603133,0.002776692576652602,0.015110172125374275
2020-08-12,689,0.005805515239477504,0.0022403336578996967,0.01470427868343774
2020-08-13,791,0.0012642225031605564,0.00022207227173293007,0.007090516356600897
2020-08-14,712,0.004213483146067416,0.0014199808774733973,0.01219517353533295
2020-08-15,416,0.002403846153846154,0.00042343488313457544,0.013457322152291578
2020-08-16,368,0.010869565217391304,0.004223289084468036,0.027537115333923046
2020-08-17,861,0.008130081300813009,0.003884901823397207,0.016439493830670678
2020-08-18,786,0.019083969465648856,0.011366542448842443,0.030628807505788842
2020-08-19,774,0.006459948320413436,0.0027375411385491687,0.014898629013491699
2020-08-20,944,0.020127118644067795,0.01280001298759642,0.03092885498804343
2020-08-21,772,0.018134715025906734,0.01077660805689272,0.030054247850255598
2020-08-22,363,0.005509641873278237,0.0015080554842362617,0.01980981612136789
2020-08-23,359,0.008356545961002786,0.0028222996329250773,0.024078960365937815
2020-08-24,688,0.005813953488372093,0.0022403336578996967,0.01470427868343774
2020-08-25,736,0.010869565217391304,0.005480487572843376,0.021158196410435752
2020-08-26,987,0.0182370820668693,0.011438582309272617,0.028329780274193674
2020-08-27,914,0.0087527352297593,0.004374533544028072,0.01691835571955492
2020-08-28,750,0.014666666666666666,0.008068760204149351,0.02562998540380932
2020-08-29,539,0.02411873840445269,0.013991870476571838,0.04038010132731475
2020-08-30,650,0.02,0.011670591018781866,0.03376136700580123
2020-08-31,1046,0.015296367112810707,0.009400993714555786,0.024609430622460324
2020-09-01,950,0.017894736842105262,0.011096692852103398,0.028205306562961337
2020-09-02,776,0.015463917525773196,0.00884483138717652,0.026765450797859424
2020-09-03,963,0.010384215991692628,0.005603458537743209,0.018853437844192075
2020-09-04,819,0.008547008547008548,0.004110982367856502,0.017389024380419314
2020-09-05,440,0.00909090909090909,0.0035326963586440573,0.023087116176874204
