date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0.5,0.09452865480086611,0.905471345199134
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0.07142857142857142,0.012721886112291648,0.3146926955395781
2020-01-11,1,0,0,0
2020-01-12,5,0,0,0
2020-01-13,1,0,0,0
2020-01-14,2,0,0,0
2020-01-15,5,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,10,0,0,0
2020-01-20,5,0.2,0.036223160969787456,0.6244717358814612
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,11,0,0,0
2020-01-24,8,0,0,0
2020-01-25,23,0,0,0
2020-01-26,16,0,0,0
2020-01-27,19,0,0,0
2020-01-28,11,0,0,0
2020-01-29,45,0,0,0
2020-01-30,20,0,0,0
2020-01-31,12,0,0,0
2020-02-01,16,0,0,0
2020-02-02,17,0.058823529411764705,0.009874935830924522,0.2575779980200754
2020-02-03,21,0,0,0
2020-02-04,9,0,0,0
2020-02-05,14,0,0,0
2020-02-06,31,0,0,0
2020-02-07,28,0,0,0
2020-02-08,24,0,0,0
2020-02-09,19,0,0,0
2020-02-10,20,0,0,0
2020-02-11,21,0,0,0
2020-02-12,11,0,0,0
2020-02-13,14,0,0,0
2020-02-14,9,0,0,0
2020-02-15,39,0,0,0
2020-02-16,36,0.027777777777777776,0.004920280295569678,0.14170033735030801
2020-02-17,45,0.08888888888888889,0.03359357946971309,0.19931805195022648
2020-02-18,22,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,16,0,0,0
2020-02-22,10,0,0,0
2020-02-23,11,0,0,0
2020-02-24,28,0,0,0
2020-02-25,33,0,0,0
2020-02-26,24,0,0,0
2020-02-27,58,0,0,0
2020-02-28,62,0,0,0
2020-02-29,83,0,0,0
2020-03-01,144,0,0,0
2020-03-02,191,0.005235602094240838,0.000857407834395765,0.026980732934641444
2020-03-03,213,0,0,0
2020-03-04,218,0,0,0
2020-03-05,228,0,0,0
2020-03-06,202,0,0,0
2020-03-07,173,0,0,0
2020-03-08,209,0,0,0
2020-03-09,364,0,0,0
2020-03-10,400,0,0,0
2020-03-11,506,0,0,0
2020-03-12,692,0,0,0
2020-03-13,793,0,0,0
2020-03-14,820,0,0,0
2020-03-15,962,0,0,0
2020-03-16,1218,0,0,0
2020-03-17,1147,0,0,0
2020-03-18,1125,0,0,0
2020-03-19,1101,0,0,0
2020-03-20,1093,0,0,0
2020-03-21,952,0,0,0
2020-03-22,823,0,0,0
2020-03-23,1625,0,0,0
2020-03-24,1700,0,0,0
2020-03-25,1572,0,0,0
2020-03-26,1616,0,0,0
2020-03-27,1635,0,0,0
2020-03-28,1321,0.000757002271006813,0.0001281101915408373,0.004099291849329838
2020-03-29,1201,0,0,0
2020-03-30,1747,0.0005724098454493417,9.620267089122248e-05,0.0030805799296329335
2020-03-31,1793,0.0005577244841048522,9.179997766644744e-05,0.0029398970751686165
2020-04-01,1770,0,0,0
2020-04-02,1492,0,0,0
2020-04-03,1580,0,0,0
2020-04-04,1183,0,0,0
2020-04-05,960,0,0,0
2020-04-06,1638,0,0,0
2020-04-07,1424,0,0,0
2020-04-08,1468,0,0,0
2020-04-09,1094,0,0,0
2020-04-10,1161,0,0,0
2020-04-11,977,0,0,0
2020-04-12,814,0,0,0
2020-04-13,1289,0.0007757951900698216,0.00012904675415087671,0.004129170812658585
2020-04-14,1211,0,0,0
2020-04-15,1120,0,0,0
2020-04-16,1074,0.000931098696461825,0.00015231996177777902,0.004871236127030877
2020-04-17,965,0,0,0
2020-04-18,753,0,0,0
2020-04-19,632,0,0,0
2020-04-20,1087,0,0,0
2020-04-21,1045,0,0,0
2020-04-22,1053,0,0,0
2020-04-23,913,0,0,0
2020-04-24,892,0,0,0
2020-04-25,539,0,0,0
2020-04-26,458,0,0,0
2020-04-27,1012,0.0009881422924901185,0.00016452967807399648,0.005260223600402615
2020-04-28,870,0,0,0
2020-04-29,1097,0,0,0
2020-04-30,1071,0.0009337068160597573,0.00015179601973555102,0.004854539030368936
2020-05-01,972,0,0,0
2020-05-02,577,0,0,0
2020-05-03,475,0.002105263157894737,0.0003318816326307337,0.010569847535093458
2020-05-04,974,0,0,0
2020-05-05,894,0.0011185682326621924,0.00017977823729430062,0.005745717298702556
2020-05-06,792,0.0012626262626262627,0.00021117955717245317,0.006744417784040462
2020-05-07,697,0,0,0
2020-05-08,623,0,0,0
2020-05-09,477,0,0,0
2020-05-10,430,0,0,0
2020-05-11,763,0.023591087811271297,0.013980761981797282,0.03455673904154267
2020-05-12,719,0,0,0
2020-05-13,697,0,0,0
2020-05-14,745,0.0026845637583892616,0.0006765377176205196,0.00894692775100553
2020-05-15,489,0,0,0
2020-05-16,286,0,0,0
2020-05-17,231,0,0,0
2020-05-18,552,0,0,0
2020-05-19,655,0,0,0
2020-05-20,485,0.002061855670103093,0.00033002018404663556,0.010511013618837179
2020-05-21,441,0,0,0
2020-05-22,576,0,0,0
2020-05-23,263,0,0,0
2020-05-24,265,0,0,0
2020-05-25,286,0,0,0
2020-05-26,498,0.002008032128514056,0.00031755262114956004,0.010116827389196224
2020-05-27,503,0.0019880715705765406,0.0003210176102927152,0.010226402446272195
2020-05-28,320,0,0,0
2020-05-29,337,0,0,0
2020-05-30,273,0,0,0
2020-05-31,211,0,0,0
2020-06-01,482,0,0,0
2020-06-02,578,0,0,0
2020-06-03,380,0,0,0
2020-06-04,428,0,0,0
2020-06-05,385,0,0,0
2020-06-06,220,0,0,0
2020-06-07,352,0.002840909090909091,0.0004932429521416788,0.01565083777268377
2020-06-08,614,0,0,0
2020-06-09,525,0,0,0
2020-06-10,573,0,0,0
2020-06-11,736,0.008152173913043478,0.003608792543457069,0.017049450306174455
2020-06-12,672,0,0,0
2020-06-13,632,0,0,0
2020-06-14,553,0,0,0
2020-06-15,823,0,0,0
2020-06-16,732,0.001366120218579235,0.00023048106434146056,0.007357573413358886
2020-06-17,648,0,0,0
2020-06-18,706,0,0,0
2020-06-19,707,0,0,0
2020-06-20,403,0,0,0
2020-06-21,462,0,0,0
2020-06-22,542,0,0,0
2020-06-23,603,0,0,0
2020-06-24,688,0,0,0
2020-06-25,550,0,0,0
2020-06-26,458,0,0,0
2020-06-27,364,0.019230769230769232,0.008951068343728514,0.03753060534666877
2020-06-28,268,0,0,0
2020-06-29,577,0,0,0
2020-06-30,545,0,0,0
2020-07-01,601,0,0,0
2020-07-02,723,0,0,0
2020-07-03,510,0,0,0
2020-07-04,324,0.0030864197530864196,0.0005383736493467919,0.01706520588980683
2020-07-05,289,0,0,0
2020-07-06,630,0.0015873015873015873,0.00026040146505072097,0.0083069842738071
2020-07-07,673,0.0029717682020802376,0.0007404751414446038,0.00978740085259225
2020-07-08,766,0,0,0
2020-07-09,710,0,0,0
2020-07-10,545,0.001834862385321101,0.00029279634716021595,0.00933343890104953
2020-07-11,395,0.007594936708860759,0.0024496035186905,0.020935917304346005
2020-07-12,326,0,0,0
2020-07-13,665,0,0,0
2020-07-14,700,0.0014285714285714286,0.0002366612052391375,0.007553784136817105
2020-07-15,876,0,0,0
2020-07-16,669,0,0,0
2020-07-17,658,0,0,0
2020-07-18,557,0,0,0
2020-07-19,414,0,0,0
2020-07-20,621,0,0,0
2020-07-21,698,0.0014326647564469914,0.00022235200327456268,0.007099402089267115
2020-07-22,593,0,0,0
2020-07-23,762,0,0,0
2020-07-24,638,0.001567398119122257,0.00026117202447332945,0.008331417778798492
2020-07-25,451,0,0,0
2020-07-26,312,0,0,0
2020-07-27,806,0.0012406947890818859,0.00021042433427758623,0.006720415339511652
2020-07-28,642,0.001557632398753894,0.0002562433662897629,0.008175121032152826
2020-07-29,623,0.0016051364365971107,0.000253665748258579,0.008093365922908154
2020-07-30,575,0.0017391304347826088,0.0002806910987238936,0.008950054794087196
2020-07-31,542,0.0018450184501845018,0.00030129223117178656,0.009602383603153904
2020-08-01,491,0,0,0
2020-08-02,400,0,0,0
2020-08-03,856,0.002336448598130841,0.0005970045964985815,0.007900228298074009
2020-08-04,694,0,0,0
2020-08-05,552,0,0,0
2020-08-06,638,0.001567398119122257,0.00024623492659395815,0.007857625893869234
2020-08-07,503,0,0,0
2020-08-08,370,0.002702702702702703,0.0004327781896081887,0.013751315889280392
2020-08-09,415,0.0024096385542168677,0.0003923744587673656,0.012479076725963168
2020-08-10,751,0.0013315579227696406,0.00021688797948147558,0.006925815448664023
2020-08-11,715,0.044755244755244755,0.029589464996803694,0.05807912247639497
2020-08-12,657,0.0015220700152207,0.000254030799866413,0.008104944968032924
2020-08-13,736,0,0,0
2020-08-14,658,0.001519756838905775,0.0002455498716248756,0.007835888717410398
2020-08-15,382,0,0,0
2020-08-16,347,0,0,0
2020-08-17,815,0,0,0
2020-08-18,730,0.0013698630136986301,0.00022013368632942164,0.007028933624169316
2020-08-19,704,0,0,0
2020-08-20,890,0.0011235955056179776,0.0001852496381957689,0.005919836093862703
2020-08-21,728,0.0027472527472527475,0.0007070639603068734,0.009348311387712518
2020-08-22,335,0.0029850746268656717,0.00048510981125034447,0.015395638858829386
2020-08-23,324,0,0,0
2020-08-24,614,0,0,0
2020-08-25,677,0.0029542097488921715,0.0007404751414446038,0.00978740085259225
2020-08-26,910,0,0,0
2020-08-27,851,0.0011750881316098707,0.0001902408642681825,0.006078635734501393
2020-08-28,715,0,0,0
2020-08-29,508,0,0,0
2020-08-30,627,0,0,0
2020-08-31,998,0.003006012024048096,0.0009721342335132924,0.008366650646491443
2020-09-01,908,0.004405286343612335,0.001623158106010097,0.010675438049369977
2020-09-02,734,0.0013623978201634877,0.0002269255216556166,0.007244664631643977
2020-09-03,923,0.0021668472372697724,0.0005650228900928923,0.007478950612884412
2020-09-04,763,0,0,0
2020-09-05,421,0,0,0
2020-09-06,301,0,0,0
2020-09-07,856,0,0,0
2020-09-08,797,0,0,0
2020-09-09,1352,0,0,0
2020-09-10,1635,0.0006116207951070336,0.00010520441801294863,0.0033681310019219603
2020-09-11,861,0.030197444831591175,0.019701611124317796,0.04180867877647547
2020-09-12,373,0.002680965147453083,0.00044816092164576244,0.014235069791281193
2020-09-13,346,0.002890173410404624,0.0004746738737255002,0.015068044122366474
2020-09-14,802,0.0012468827930174563,0.00020672782155959282,0.006602920952759582
2020-09-15,796,0,0,0
2020-09-16,1839,0.000543773790103317,8.607052612375803e-05,0.002756776338568878
2020-09-17,932,0.002145922746781116,0.0005536162063533677,0.007328643642852777
2020-09-18,1209,0.0008271298593879239,0.00013835196674968675,0.004425962867211015
2020-09-19,767,0.001303780964797914,0.00021742226764863448,0.006942791185551104
2020-09-20,657,0,0,0
2020-09-21,1457,0,0,0
2020-09-22,989,0.003033367037411527,0.0009611444611993957,0.008272497761059521
2020-09-23,1279,0,0,0
2020-09-24,2546,0,0,0
2020-09-25,1104,0.0018115942028985507,0.00047375535148011874,0.006275529576861232
2020-09-26,477,0,0,0
2020-09-27,1050,0.0009523809523809524,0.00016270978771449254,0.0052022578990454545
2020-09-28,762,0.003937007874015748,0.0012299646295284821,0.010572756654705836
