date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,2,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,22,0,0,0
2020-01-13,1,0,0,0
2020-01-14,11,0,0,0
2020-01-15,18,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,23,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,20,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,22,0,0,0
2020-01-31,15,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0,0,0
2020-02-03,21,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,32,0,0,0
2020-02-07,30,0,0,0
2020-02-08,27,0,0,0
2020-02-09,24,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,10,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,38,0,0,0
2020-02-16,36,0,0,0
2020-02-17,46,0,0,0
2020-02-18,22,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,17,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,31,0,0,0
2020-02-25,35,0,0,0
2020-02-26,28,0,0,0
2020-02-27,63,0,0,0
2020-02-28,67,0,0,0
2020-02-29,84,0,0,0
2020-03-01,150,0,0,0
2020-03-02,202,0,0,0
2020-03-03,222,0,0,0
2020-03-04,234,0,0,0
2020-03-05,241,0,0,0
2020-03-06,204,0,0,0
2020-03-07,173,0,0,0
2020-03-08,197,0,0,0
2020-03-09,374,0,0,0
2020-03-10,412,0,0,0
2020-03-11,520,0,0,0
2020-03-12,707,0,0,0
2020-03-13,805,0,0,0
2020-03-14,831,0,0,0
2020-03-15,971,0,0,0
2020-03-16,1234,0,0,0
2020-03-17,1169,0,0,0
2020-03-18,1157,0,0,0
2020-03-19,1137,0,0,0
2020-03-20,1109,0,0,0
2020-03-21,971,0,0,0
2020-03-22,839,0,0,0
2020-03-23,1630,0,0,0
2020-03-24,1770,0,0,0
2020-03-25,1639,0,0,0
2020-03-26,1681,0,0,0
2020-03-27,1689,0.0005920663114268798,0.00010323553808842997,0.0033052474862470746
2020-03-28,1353,0,0,0
2020-03-29,1253,0,0,0
2020-03-30,1792,0.0005580357142857143,9.620267089122248e-05,0.0030805799296329335
2020-03-31,1841,0,0,0
2020-04-01,1871,0,0,0
2020-04-02,1528,0,0,0
2020-04-03,1629,0,0,0
2020-04-04,1229,0.0008136696501220504,0.00013867804388684413,0.004436360864619897
2020-04-05,979,0,0,0
2020-04-06,1700,0,0,0
2020-04-07,1450,0,0,0
2020-04-08,1510,0,0,0
2020-04-09,1139,0,0,0
2020-04-10,1224,0,0,0
2020-04-11,1006,0,0,0
2020-04-12,844,0,0,0
2020-04-13,1306,0,0,0
2020-04-14,1214,0,0,0
2020-04-15,1139,0,0,0
2020-04-16,1120,0,0,0
2020-04-17,993,0,0,0
2020-04-18,760,0,0,0
2020-04-19,643,0,0,0
2020-04-20,1094,0,0,0
2020-04-21,1039,0,0,0
2020-04-22,1062,0,0,0
2020-04-23,928,0,0,0
2020-04-24,907,0,0,0
2020-04-25,555,0,0,0
2020-04-26,471,0,0,0
2020-04-27,1026,0,0,0
2020-04-28,884,0,0,0
2020-04-29,1096,0,0,0
2020-04-30,1093,0,0,0
2020-05-01,973,0,0,0
2020-05-02,601,0,0,0
2020-05-03,494,0,0,0
2020-05-04,993,0,0,0
2020-05-05,912,0,0,0
2020-05-06,772,0,0,0
2020-05-07,709,0,0,0
2020-05-08,645,0,0,0
2020-05-09,475,0,0,0
2020-05-10,446,0,0,0
2020-05-11,780,0,0,0
2020-05-12,762,0,0,0
2020-05-13,731,0,0,0
2020-05-14,764,0,0,0
2020-05-15,501,0,0,0
2020-05-16,291,0,0,0
2020-05-17,236,0,0,0
2020-05-18,567,0,0,0
2020-05-19,666,0,0,0
2020-05-20,493,0,0,0
2020-05-21,451,0,0,0
2020-05-22,601,0,0,0
2020-05-23,271,0,0,0
2020-05-24,263,0,0,0
2020-05-25,302,0,0,0
2020-05-26,519,0,0,0
2020-05-27,517,0,0,0
2020-05-28,333,0,0,0
2020-05-29,356,0,0,0
2020-05-30,274,0,0,0
2020-05-31,212,0,0,0
2020-06-01,494,0,0,0
2020-06-02,580,0,0,0
2020-06-03,378,0,0,0
2020-06-04,439,0,0,0
2020-06-05,380,0,0,0
2020-06-06,218,0,0,0
2020-06-07,353,0,0,0
2020-06-08,617,0,0,0
2020-06-09,527,0,0,0
2020-06-10,576,0,0,0
2020-06-11,741,0,0,0
2020-06-12,673,0,0,0
2020-06-13,625,0,0,0
2020-06-14,520,0,0,0
2020-06-15,821,0,0,0
2020-06-16,731,0,0,0
2020-06-17,648,0,0,0
2020-06-18,706,0,0,0
2020-06-19,711,0,0,0
2020-06-20,403,0,0,0
2020-06-21,446,0,0,0
2020-06-22,515,0,0,0
2020-06-23,602,0,0,0
2020-06-24,633,0,0,0
2020-06-25,556,0,0,0
2020-06-26,461,0,0,0
2020-06-27,370,0,0,0
2020-06-28,271,0,0,0
2020-06-29,585,0,0,0
2020-06-30,572,0,0,0
2020-07-01,618,0,0,0
2020-07-02,734,0,0,0
2020-07-03,509,0,0,0
2020-07-04,325,0,0,0
2020-07-05,293,0,0,0
2020-07-06,654,0,0,0
2020-07-07,715,0,0,0
2020-07-08,810,0,0,0
2020-07-09,735,0,0,0
2020-07-10,574,0,0,0
2020-07-11,391,0,0,0
2020-07-12,333,0,0,0
2020-07-13,697,0,0,0
2020-07-14,709,0,0,0
2020-07-15,924,0,0,0
2020-07-16,689,0,0,0
2020-07-17,694,0,0,0
2020-07-18,579,0,0,0
2020-07-19,432,0,0,0
2020-07-20,678,0,0,0
2020-07-21,763,0,0,0
2020-07-22,639,0,0,0
2020-07-23,815,0,0,0
2020-07-24,662,0,0,0
2020-07-25,467,0,0,0
2020-07-26,321,0,0,0
2020-07-27,824,0,0,0
2020-07-28,672,0,0,0
2020-07-29,682,0,0,0
2020-07-30,614,0,0,0
2020-07-31,568,0,0,0
2020-08-01,511,0,0,0
2020-08-02,437,0,0,0
2020-08-03,892,0,0,0
2020-08-04,748,0,0,0
2020-08-05,593,0,0,0
2020-08-06,702,0,0,0
2020-08-07,571,0,0,0
2020-08-08,400,0,0,0
2020-08-09,444,0,0,0
2020-08-10,798,0,0,0
2020-08-11,765,0,0,0
2020-08-12,686,0,0,0
2020-08-13,780,0,0,0
2020-08-14,705,0,0,0
2020-08-15,409,0,0,0
2020-08-16,366,0,0,0
2020-08-17,853,0,0,0
2020-08-18,780,0,0,0
2020-08-19,756,0,0,0
2020-08-20,930,0,0,0
2020-08-21,762,0,0,0
2020-08-22,357,0,0,0
2020-08-23,350,0,0,0
2020-08-24,664,0,0,0
2020-08-25,714,0.0014005602240896359,0.00023825837585531693,0.0076044829533078225
2020-08-26,965,0,0,0
2020-08-27,911,0,0,0
2020-08-28,745,0,0,0
2020-08-29,526,0,0,0
2020-08-30,631,0,0,0
2020-08-31,1011,0,0,0
2020-09-01,941,0,0,0
2020-09-02,756,0,0,0
2020-09-03,945,0,0,0
2020-09-04,793,0,0,0
2020-09-05,420,0,0,0
2020-09-06,314,0,0,0
2020-09-07,873,0,0,0
2020-09-08,806,0,0,0
2020-09-09,1358,0,0,0
2020-09-10,1646,0,0,0
2020-09-11,871,0,0,0
2020-09-12,376,0,0,0
2020-09-13,353,0,0,0
2020-09-14,811,0,0,0
2020-09-15,798,0,0,0
2020-09-16,2004,0,0,0
2020-09-17,948,0,0,0
2020-09-18,1228,0,0,0
2020-09-19,763,0,0,0
2020-09-20,659,0,0,0
2020-09-21,1429,0,0,0
2020-09-22,998,0,0,0
2020-09-23,1326,0,0,0
2020-09-24,2520,0,0,0
2020-09-25,1129,0,0,0
2020-09-26,480,0,0,0
2020-09-27,1062,0,0,0
2020-09-28,782,0,0,0
2020-09-29,1239,0,0,0
2020-09-30,1091,0,0,0
2020-10-01,2051,0.0009751340809361287,0.0002537187461106062,0.00336685997026459
2020-10-02,1399,0,0,0
2020-10-03,1203,0,0,0
2020-10-04,638,0,0,0
2020-10-05,2238,0,0,0
2020-10-06,1938,0,0,0
2020-10-07,1982,0.0010090817356205853,0.00026968776757792245,0.0035783051284351925
2020-10-08,1812,0,0,0
2020-10-09,1527,0,0,0
2020-10-10,799,0,0,0
2020-10-11,977,0,0,0
2020-10-12,2108,0,0,0
2020-10-13,1546,0,0,0
2020-10-14,1914,0,0,0
2020-10-15,2493,0,0,0
2020-10-16,1468,0,0,0
2020-10-17,1194,0,0,0
2020-10-18,726,0,0,0
2020-10-19,1863,0,0,0
2020-10-20,2060,0,0,0
2020-10-21,2419,0,0,0
2020-10-22,1945,0,0,0
2020-10-23,1452,0,0,0
2020-10-24,1502,0,0,0
2020-10-25,808,0,0,0
2020-10-26,2625,0,0,0
2020-10-27,1690,0,0,0
2020-10-28,1331,0,0,0
2020-10-29,2037,0,0,0
2020-10-30,2125,0,0,0
2020-10-31,950,0,0,0
2020-11-01,2444,0,0,0
2020-11-02,3614,0,0,0
2020-11-03,2129,0,0,0
2020-11-04,3189,0,0,0
2020-11-05,2915,0,0,0
2020-11-06,2254,0,0,0
2020-11-07,1703,0,0,0
2020-11-08,2563,0,0,0
2020-11-09,2841,0,0,0
2020-11-10,2198,0.00045495905368516835,7.661869841839593e-05,0.002454577550058969
2020-11-11,2550,0,0,0
2020-11-12,3169,0,0,0
2020-11-13,2838,0,0,0
2020-11-14,2605,0,0,0
2020-11-15,1462,0,0,0
2020-11-16,1611,0,0,0
2020-11-17,2060,0,0,0
2020-11-18,2880,0,0,0
2020-11-19,1289,0,0,0
2020-11-20,1813,0,0,0
2020-11-21,1388,0,0,0
2020-11-22,1664,0,0,0
2020-11-23,2126,0,0,0
2020-11-24,1663,0,0,0
2020-11-25,1626,0,0,0
2020-11-26,1074,0,0,0
2020-11-27,1529,0,0,0
2020-11-28,843,0,0,0
2020-11-29,792,0,0,0
2020-11-30,2298,0,0,0
2020-12-01,2493,0,0,0
2020-12-02,2154,0.00046425255338904364,7.78692702616393e-05,0.0024945690715408005
2020-12-03,1838,0,0,0
2020-12-04,1526,0,0,0
2020-12-05,861,0,0,0
2020-12-06,1091,0,0,0
2020-12-07,2484,0,0,0
2020-12-08,2200,0,0,0
2020-12-09,2204,0,0,0
2020-12-10,4187,0,0,0
2020-12-11,3551,0,0,0
2020-12-12,2030,0,0,0
2020-12-13,1919,0,0,0
2020-12-14,3888,0,0,0
2020-12-15,4115,0.00024301336573511544,4.1100137931259163e-05,0.0013177775653086087
2020-12-16,3544,0,0,0
2020-12-17,3184,0,0,0
2020-12-18,3224,0,0,0
2020-12-19,2539,0,0,0
2020-12-20,1946,0,0,0
2020-12-21,3212,0,0,0
