date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0.07142857142857142,0.012721886112291648,0.3146926955395781
2020-01-11,1,0,0,0
2020-01-12,5,0,0,0
2020-01-13,1,0,0,0
2020-01-14,2,0,0,0
2020-01-15,5,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,10,0,0,0
2020-01-20,5,0.2,0.036223160969787456,0.6244717358814612
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,11,0,0,0
2020-01-24,8,0,0,0
2020-01-25,23,0,0,0
2020-01-26,16,0,0,0
2020-01-27,19,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,20,0,0,0
2020-01-31,13,0,0,0
2020-02-01,16,0,0,0
2020-02-02,17,0,0,0
2020-02-03,20,0,0,0
2020-02-04,9,0,0,0
2020-02-05,14,0,0,0
2020-02-06,31,0,0,0
2020-02-07,27,0,0,0
2020-02-08,24,0,0,0
2020-02-09,19,0,0,0
2020-02-10,20,0,0,0
2020-02-11,21,0,0,0
2020-02-12,11,0,0,0
2020-02-13,14,0,0,0
2020-02-14,9,0,0,0
2020-02-15,39,0,0,0
2020-02-16,36,0,0,0
2020-02-17,45,0,0,0
2020-02-18,22,0,0,0
2020-02-19,16,0,0,0
2020-02-20,10,0,0,0
2020-02-21,16,0,0,0
2020-02-22,10,0,0,0
2020-02-23,11,0,0,0
2020-02-24,28,0,0,0
2020-02-25,33,0,0,0
2020-02-26,24,0,0,0
2020-02-27,58,0,0,0
2020-02-28,63,0,0,0
2020-02-29,83,0,0,0
2020-03-01,144,0,0,0
2020-03-02,190,0,0,0
2020-03-03,212,0,0,0
2020-03-04,218,0,0,0
2020-03-05,225,0,0,0
2020-03-06,201,0,0,0
2020-03-07,174,0,0,0
2020-03-08,209,0,0,0
2020-03-09,366,0,0,0
2020-03-10,401,0,0,0
2020-03-11,508,0,0,0
2020-03-12,694,0,0,0
2020-03-13,794,0,0,0
2020-03-14,820,0,0,0
2020-03-15,963,0,0,0
2020-03-16,1219,0,0,0
2020-03-17,1147,0,0,0
2020-03-18,1126,0,0,0
2020-03-19,1102,0,0,0
2020-03-20,1092,0,0,0
2020-03-21,952,0,0,0
2020-03-22,821,0,0,0
2020-03-23,1626,0,0,0
2020-03-24,1702,0,0,0
2020-03-25,1575,0,0,0
2020-03-26,1620,0,0,0
2020-03-27,1639,0,0,0
2020-03-28,1320,0,0,0
2020-03-29,1205,0,0,0
2020-03-30,1750,0,0,0
2020-03-31,1799,0,0,0
2020-04-01,1773,0,0,0
2020-04-02,1495,0,0,0
2020-04-03,1581,0,0,0
2020-04-04,1184,0,0,0
2020-04-05,964,0,0,0
2020-04-06,1638,0,0,0
2020-04-07,1427,0,0,0
2020-04-08,1470,0,0,0
2020-04-09,1097,0,0,0
2020-04-10,1159,0,0,0
2020-04-11,976,0,0,0
2020-04-12,814,0,0,0
2020-04-13,1294,0,0,0
2020-04-14,1213,0,0,0
2020-04-15,1119,0,0,0
2020-04-16,1079,0,0,0
2020-04-17,967,0,0,0
2020-04-18,753,0,0,0
2020-04-19,636,0,0,0
2020-04-20,1087,0,0,0
2020-04-21,1051,0,0,0
2020-04-22,1055,0,0,0
2020-04-23,915,0,0,0
2020-04-24,899,0,0,0
2020-04-25,539,0,0,0
2020-04-26,461,0,0,0
2020-04-27,1012,0,0,0
2020-04-28,872,0,0,0
2020-04-29,1100,0,0,0
2020-04-30,1071,0,0,0
2020-05-01,972,0,0,0
2020-05-02,576,0,0,0
2020-05-03,480,0,0,0
2020-05-04,975,0,0,0
2020-05-05,901,0,0,0
2020-05-06,796,0,0,0
2020-05-07,699,0,0,0
2020-05-08,624,0,0,0
2020-05-09,478,0,0,0
2020-05-10,431,0,0,0
2020-05-11,766,0,0,0
2020-05-12,720,0,0,0
2020-05-13,699,0,0,0
2020-05-14,747,0,0,0
2020-05-15,489,0,0,0
2020-05-16,287,0,0,0
2020-05-17,231,0,0,0
2020-05-18,556,0,0,0
2020-05-19,656,0,0,0
2020-05-20,483,0,0,0
2020-05-21,441,0,0,0
2020-05-22,579,0,0,0
2020-05-23,264,0,0,0
2020-05-24,266,0,0,0
2020-05-25,286,0,0,0
2020-05-26,500,0,0,0
2020-05-27,503,0,0,0
2020-05-28,321,0,0,0
2020-05-29,339,0,0,0
2020-05-30,274,0,0,0
2020-05-31,211,0,0,0
2020-06-01,484,0,0,0
2020-06-02,581,0,0,0
2020-06-03,381,0,0,0
2020-06-04,430,0,0,0
2020-06-05,385,0,0,0
2020-06-06,221,0,0,0
2020-06-07,353,0,0,0
2020-06-08,613,0,0,0
2020-06-09,526,0,0,0
2020-06-10,576,0,0,0
2020-06-11,737,0,0,0
2020-06-12,674,0,0,0
2020-06-13,632,0,0,0
2020-06-14,555,0,0,0
2020-06-15,824,0,0,0
2020-06-16,732,0,0,0
2020-06-17,649,0,0,0
2020-06-18,707,0,0,0
2020-06-19,708,0,0,0
2020-06-20,403,0,0,0
2020-06-21,462,0,0,0
2020-06-22,543,0,0,0
2020-06-23,606,0,0,0
2020-06-24,689,0,0,0
2020-06-25,552,0,0,0
2020-06-26,458,0,0,0
2020-06-27,364,0,0,0
2020-06-28,268,0,0,0
2020-06-29,578,0,0,0
2020-06-30,548,0,0,0
2020-07-01,603,0,0,0
2020-07-02,724,0,0,0
2020-07-03,509,0,0,0
2020-07-04,324,0,0,0
2020-07-05,289,0,0,0
2020-07-06,634,0,0,0
2020-07-07,674,0,0,0
2020-07-08,770,0,0,0
2020-07-09,713,0,0,0
2020-07-10,551,0,0,0
2020-07-11,395,0,0,0
2020-07-12,327,0,0,0
2020-07-13,667,0,0,0
2020-07-14,704,0,0,0
2020-07-15,880,0,0,0
2020-07-16,668,0,0,0
2020-07-17,661,0,0,0
2020-07-18,557,0,0,0
2020-07-19,414,0,0,0
2020-07-20,623,0,0,0
2020-07-21,707,0,0,0
2020-07-22,596,0,0,0
2020-07-23,766,0,0,0
2020-07-24,642,0,0,0
2020-07-25,451,0,0,0
2020-07-26,312,0,0,0
2020-07-27,809,0,0,0
2020-07-28,644,0,0,0
2020-07-29,626,0,0,0
2020-07-30,579,0,0,0
2020-07-31,545,0,0,0
2020-08-01,493,0,0,0
2020-08-02,406,0,0,0
2020-08-03,856,0,0,0
2020-08-04,697,0,0,0
2020-08-05,555,0,0,0
2020-08-06,642,0,0,0
2020-08-07,505,0,0,0
2020-08-08,369,0,0,0
2020-08-09,415,0,0,0
2020-08-10,753,0,0,0
2020-08-11,720,0,0,0
2020-08-12,657,0,0,0
2020-08-13,735,0,0,0
2020-08-14,665,0,0,0
2020-08-15,382,0,0,0
2020-08-16,348,0,0,0
2020-08-17,821,0,0,0
2020-08-18,729,0,0,0
2020-08-19,708,0,0,0
2020-08-20,896,0,0,0
2020-08-21,726,0,0,0
2020-08-22,338,0,0,0
2020-08-23,326,0,0,0
2020-08-24,620,0,0,0
2020-08-25,680,0,0,0
2020-08-26,917,0,0,0
2020-08-27,856,0,0,0
2020-08-28,715,0,0,0
2020-08-29,509,0,0,0
2020-08-30,631,0,0,0
2020-08-31,1000,0,0,0
2020-09-01,909,0,0,0
2020-09-02,735,0,0,0
2020-09-03,925,0,0,0
2020-09-04,762,0,0,0
2020-09-05,422,0,0,0
2020-09-06,300,0,0,0
2020-09-07,857,0,0,0
2020-09-08,800,0,0,0
2020-09-09,1353,0,0,0
2020-09-10,1639,0,0,0
2020-09-11,864,0,0,0
2020-09-12,372,0,0,0
2020-09-13,347,0,0,0
2020-09-14,804,0,0,0
2020-09-15,801,0,0,0
2020-09-16,1847,0,0,0
2020-09-17,939,0,0,0
2020-09-18,1213,0,0,0
2020-09-19,772,0,0,0
2020-09-20,658,0,0,0
2020-09-21,1461,0,0,0
2020-09-22,996,0,0,0
2020-09-23,1281,0,0,0
2020-09-24,2548,0,0,0
2020-09-25,1113,0,0,0
2020-09-26,480,0,0,0
2020-09-27,1051,0,0,0
2020-09-28,768,0,0,0
2020-09-29,1183,0,0,0
2020-09-30,1094,0,0,0
2020-10-01,2076,0,0,0
2020-10-02,1381,0,0,0
2020-10-03,1173,0,0,0
2020-10-04,638,0,0,0
2020-10-05,2151,0,0,0
2020-10-06,1910,0,0,0
2020-10-07,1899,0,0,0
2020-10-08,1707,0,0,0
2020-10-09,1443,0,0,0
2020-10-10,769,0,0,0
2020-10-11,972,0,0,0
2020-10-12,2029,0,0,0
2020-10-13,1470,0,0,0
2020-10-14,1795,0,0,0
2020-10-15,2410,0,0,0
2020-10-16,1411,0,0,0
2020-10-17,1178,0,0,0
2020-10-18,715,0,0,0
2020-10-19,1789,0,0,0
2020-10-20,2020,0,0,0
2020-10-21,2400,0,0,0
2020-10-22,1914,0,0,0
2020-10-23,1386,0,0,0
2020-10-24,1392,0,0,0
2020-10-25,774,0,0,0
2020-10-26,2529,0,0,0
2020-10-27,1603,0,0,0
2020-10-28,1255,0,0,0
2020-10-29,1873,0,0,0
2020-10-30,2044,0,0,0
2020-10-31,985,0,0,0
2020-11-01,2493,0,0,0
2020-11-02,3544,0,0,0
2020-11-03,2032,0,0,0
2020-11-04,3095,0,0,0
2020-11-05,2750,0,0,0
2020-11-06,2157,0,0,0
2020-11-07,1704,0,0,0
2020-11-08,2558,0,0,0
2020-11-09,2787,0,0,0
2020-11-10,2160,0.000462962962962963,7.661869841839593e-05,0.002454577550058969
2020-11-11,2515,0,0,0
2020-11-12,3060,0,0,0
2020-11-13,2832,0,0,0
2020-11-14,2583,0,0,0
2020-11-15,1425,0,0,0
2020-11-16,1598,0,0,0
2020-11-17,1996,0,0,0
2020-11-18,2854,0,0,0
2020-11-19,1257,0,0,0
2020-11-20,1782,0,0,0
2020-11-21,1419,0,0,0
2020-11-22,1697,0,0,0
2020-11-23,2067,0,0,0
2020-11-24,1654,0,0,0
2020-11-25,1573,0,0,0
2020-11-26,1106,0,0,0
2020-11-27,1546,0,0,0
2020-11-28,866,0,0,0
2020-11-29,794,0,0,0
2020-11-30,2141,0,0,0
2020-12-01,2451,0,0,0
2020-12-02,2098,0,0,0
2020-12-03,1738,0,0,0
2020-12-04,1532,0,0,0
2020-12-05,847,0,0,0
2020-12-06,1072,0,0,0
2020-12-07,2315,0,0,0
2020-12-08,2078,0,0,0
2020-12-09,2166,0,0,0
2020-12-10,4138,0,0,0
2020-12-11,3455,0.0002894356005788712,4.876409927331881e-05,0.0015632268884122357
2020-12-12,1988,0,0,0
2020-12-13,1914,0,0,0
2020-12-14,3817,0,0,0
2020-12-15,4033,0,0,0
2020-12-16,3453,0,0,0
2020-12-17,3141,0,0,0
2020-12-18,3154,0,0,0
2020-12-19,2485,0.00040241448692152917,6.69428462521326e-05,0.002145079260639852
2020-12-20,1858,0,0,0
2020-12-21,3066,0,0,0
2020-12-22,2592,0,0,0
2020-12-23,2247,0,0,0
2020-12-24,1990,0,0,0
2020-12-25,1035,0,0,0
2020-12-26,3048,0,0,0
2020-12-27,2570,0,0,0
2020-12-28,3128,0,0,0
