date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,2,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,25,0,0,0
2020-01-13,1,0,0,0
2020-01-14,11,0,0,0
2020-01-15,19,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,23,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,20,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,22,0,0,0
2020-01-31,16,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0,0,0
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,32,0,0,0
2020-02-07,30,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,12,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,39,0,0,0
2020-02-16,36,0.027777777777777776,0.004920280295569678,0.14170033735030801
2020-02-17,47,0.0851063829787234,0.03359357946971309,0.19931805195022648
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,17,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,31,0,0,0
2020-02-25,35,0,0,0
2020-02-26,29,0,0,0
2020-02-27,63,0,0,0
2020-02-28,66,0,0,0
2020-02-29,82,0,0,0
2020-03-01,149,0,0,0
2020-03-02,202,0,0,0
2020-03-03,223,0,0,0
2020-03-04,232,0,0,0
2020-03-05,244,0,0,0
2020-03-06,200,0,0,0
2020-03-07,178,0,0,0
2020-03-08,209,0,0,0
2020-03-09,378,0,0,0
2020-03-10,415,0,0,0
2020-03-11,530,0,0,0
2020-03-12,717,0,0,0
2020-03-13,814,0,0,0
2020-03-14,838,0,0,0
2020-03-15,986,0,0,0
2020-03-16,1241,0.0008058017727639,0.0001414563246778226,0.004524948754047792
2020-03-17,1175,0,0,0
2020-03-18,1163,0,0,0
2020-03-19,1147,0,0,0
2020-03-20,1126,0.0008880994671403197,0.00015567835161072764,0.004978252416960222
2020-03-21,982,0,0,0
2020-03-22,851,0,0,0
2020-03-23,1670,0,0,0
2020-03-24,1778,0,0,0
2020-03-25,1641,0,0,0
2020-03-26,1688,0,0,0
2020-03-27,1692,0.000591016548463357,0.00010323553808842997,0.0033052474862470746
2020-03-28,1366,0,0,0
2020-03-29,1264,0,0,0
2020-03-30,1802,0,0,0
2020-03-31,1882,0.0005313496280552603,9.179997766644744e-05,0.0029398970751686165
2020-04-01,1899,0,0,0
2020-04-02,1565,0,0,0
2020-04-03,1654,0,0,0
2020-04-04,1240,0,0,0
2020-04-05,997,0,0,0
2020-04-06,1731,0,0,0
2020-04-07,1466,0,0,0
2020-04-08,1534,0,0,0
2020-04-09,1157,0,0,0
2020-04-10,1243,0,0,0
2020-04-11,1033,0,0,0
2020-04-12,862,0,0,0
2020-04-13,1348,0,0,0
2020-04-14,1253,0,0,0
2020-04-15,1174,0,0,0
2020-04-16,1144,0,0,0
2020-04-17,1023,0,0,0
2020-04-18,782,0,0,0
2020-04-19,663,0.0015082956259426848,0.00025811682884299876,0.008234536130791894
2020-04-20,1134,0.0008818342151675485,0.00015324561639897905,0.004900734098468525
2020-04-21,1092,0.0018315018315018315,0.0004973853882189005,0.006587277855374402
2020-04-22,1106,0,0,0
2020-04-23,952,0,0,0
2020-04-24,930,0,0,0
2020-04-25,565,0.0035398230088495575,0.0009610526412718154,0.01268027046408451
2020-04-26,481,0,0,0
2020-04-27,1060,0,0,0
2020-04-28,899,0,0,0
2020-04-29,1132,0,0,0
2020-04-30,1133,0,0,0
2020-05-01,1032,0.0009689922480620155,0.00017024209307715972,0.005442139272156512
2020-05-02,610,0,0,0
2020-05-03,510,0,0,0
2020-05-04,1003,0,0,0
2020-05-05,960,0,0,0
2020-05-06,802,0,0,0
2020-05-07,742,0,0,0
2020-05-08,678,0,0,0
2020-05-09,512,0,0,0
2020-05-10,458,0,0,0
2020-05-11,808,0,0,0
2020-05-12,780,0,0,0
2020-05-13,777,0,0,0
2020-05-14,800,0.00125,0.00021769040008538378,0.006951310298946182
2020-05-15,539,0,0,0
2020-05-16,295,0,0,0
2020-05-17,258,0,0,0
2020-05-18,558,0,0,0
2020-05-19,680,0.0014705882352941176,0.0002479644046680089,0.007912500145031255
2020-05-20,515,0,0,0
2020-05-21,488,0,0,0
2020-05-22,598,0,0,0
2020-05-23,281,0,0,0
2020-05-24,277,0,0,0
2020-05-25,311,0,0,0
2020-05-26,549,0,0,0
2020-05-27,548,0,0,0
2020-05-28,356,0,0,0
2020-05-29,388,0,0,0
2020-05-30,281,0,0,0
2020-05-31,217,0,0,0
2020-06-01,528,0,0,0
2020-06-02,602,0,0,0
2020-06-03,408,0,0,0
2020-06-04,452,0,0,0
2020-06-05,412,0,0,0
2020-06-06,224,0,0,0
2020-06-07,356,0,0,0
2020-06-08,627,0,0,0
2020-06-09,540,0,0,0
2020-06-10,600,0,0,0
2020-06-11,760,0,0,0
2020-06-12,689,0,0,0
2020-06-13,645,0,0,0
2020-06-14,566,0,0,0
2020-06-15,856,0,0,0
2020-06-16,765,0,0,0
2020-06-17,670,0,0,0
2020-06-18,727,0,0,0
2020-06-19,746,0,0,0
2020-06-20,425,0,0,0
2020-06-21,480,0,0,0
2020-06-22,572,0,0,0
2020-06-23,624,0,0,0
2020-06-24,707,0,0,0
2020-06-25,573,0,0,0
2020-06-26,472,0.00211864406779661,0.0003701588263313515,0.011778540454263338
2020-06-27,379,0,0,0
2020-06-28,278,0,0,0
2020-06-29,598,0,0,0
2020-06-30,588,0,0,0
2020-07-01,630,0,0,0
2020-07-02,748,0,0,0
2020-07-03,519,0,0,0
2020-07-04,327,0,0,0
2020-07-05,297,0,0,0
2020-07-06,674,0,0,0
2020-07-07,736,0,0,0
2020-07-08,825,0,0,0
2020-07-09,759,0,0,0
2020-07-10,599,0,0,0
2020-07-11,411,0,0,0
2020-07-12,335,0,0,0
2020-07-13,728,0,0,0
2020-07-14,746,0,0,0
2020-07-15,938,0,0,0
2020-07-16,718,0,0,0
2020-07-17,706,0,0,0
2020-07-18,583,0,0,0
2020-07-19,438,0,0,0
2020-07-20,693,0,0,0
2020-07-21,788,0,0,0
2020-07-22,650,0,0,0
2020-07-23,829,0,0,0
2020-07-24,671,0,0,0
2020-07-25,472,0.00211864406779661,0.00037408102757241626,0.01190227312053065
2020-07-26,325,0.003076923076923077,0.0005433451436958484,0.017220830678341265
2020-07-27,833,0,0,0
2020-07-28,688,0.0014534883720930232,0.0002562433662897629,0.008175121032152826
2020-07-29,690,0,0,0
2020-07-30,624,0,0,0
2020-07-31,582,0,0,0
2020-08-01,542,0,0,0
2020-08-02,443,0,0,0
2020-08-03,914,0,0,0
2020-08-04,759,0,0,0
2020-08-05,604,0,0,0
2020-08-06,714,0,0,0
2020-08-07,586,0,0,0
2020-08-08,407,0,0,0
2020-08-09,450,0,0,0
2020-08-10,811,0,0,0
2020-08-11,769,0,0,0
2020-08-12,693,0,0,0
2020-08-13,789,0,0,0
2020-08-14,718,0,0,0
2020-08-15,417,0,0,0
2020-08-16,369,0,0,0
2020-08-17,870,0,0,0
2020-08-18,799,0,0,0
2020-08-19,779,0,0,0
2020-08-20,949,0,0,0
2020-08-21,774,0,0,0
2020-08-22,364,0.0027472527472527475,0.00048510981125034447,0.015395638858829386
2020-08-23,360,0,0,0
2020-08-24,689,0,0,0
2020-08-25,738,0,0,0
2020-08-26,997,0.0010030090270812437,0.0001768956641134811,0.005653966220639558
2020-08-27,924,0,0,0
2020-08-28,759,0,0,0
2020-08-29,540,0,0,0
2020-08-30,652,0,0,0
2020-08-31,1049,0,0,0
2020-09-01,955,0,0,0
2020-09-02,772,0,0,0
2020-09-03,956,0,0,0
2020-09-04,823,0,0,0
2020-09-05,439,0,0,0
2020-09-06,321,0,0,0
2020-09-07,897,0.0011148272017837235,0.0001961602817749062,0.006266919089654778
2020-09-08,843,0,0,0
2020-09-09,1389,0.0007199424046076314,0.00012682161257773653,0.004058180467887554
2020-09-10,1677,0,0,0
2020-09-11,902,0,0,0
2020-09-12,392,0,0,0
2020-09-13,368,0,0,0
2020-09-14,849,0,0,0
2020-09-15,846,0,0,0
2020-09-16,2037,0.0004909180166912126,8.607052612375803e-05,0.002756776338568878
2020-09-17,991,0.0010090817356205853,0.00017814533524065202,0.005693744219840278
2020-09-18,1270,0,0,0
2020-09-19,811,0,0,0
2020-09-20,692,0,0,0
2020-09-21,1487,0,0,0
2020-09-22,1059,0,0,0
2020-09-23,1357,0.0014738393515106854,0.0004016003985435917,0.00532285708617581
2020-09-24,2636,0,0,0
2020-09-25,1156,0,0,0
2020-09-26,503,0,0,0
2020-09-27,1081,0,0,0
2020-09-28,827,0,0,0
2020-09-29,1279,0.0007818608287724785,0.00013642725790178383,0.004364584267695792
2020-09-30,1144,0,0,0
2020-10-01,2149,0.00046533271288971617,8.16512964901204e-05,0.0026154988552107247
2020-10-02,1455,0,0,0
2020-10-03,1278,0,0,0
2020-10-04,692,0.001445086705202312,0.000254030799866413,0.008104944968032924
2020-10-05,2299,0,0,0
2020-10-06,2006,0,0,0
2020-10-07,2022,0,0,0
2020-10-08,1895,0,0,0
2020-10-09,1597,0,0,0
2020-10-10,829,0,0,0
2020-10-11,1020,0,0,0
2020-10-12,2156,0,0,0
2020-10-13,1607,0,0,0
2020-10-14,1970,0.0005076142131979696,8.915708609945676e-05,0.0028554328448708384
2020-10-15,2543,0.0007864726700747149,0.0002140177617436157,0.0028409428560054496
2020-10-16,1538,0,0,0
2020-10-17,1251,0,0,0
2020-10-18,763,0,0,0
2020-10-19,1944,0.00051440329218107,9.020498720661972e-05,0.002888923974561633
2020-10-20,2162,0,0,0
2020-10-21,2509,0.0007971303308090873,0.00021715300990794958,0.002882487694869772
2020-10-22,2024,0,0,0
2020-10-23,1523,0,0,0
2020-10-24,1563,0,0,0
2020-10-25,835,0,0,0
2020-10-26,2681,0,0,0
2020-10-27,1788,0,0,0
2020-10-28,1414,0.0021216407355021216,0.0007197560131073557,0.0062019714141953765
2020-10-29,2146,0.00046598322460391424,8.184057783976763e-05,0.002621550545322615
2020-10-30,2223,0,0,0
2020-10-31,1035,0,0,0
2020-11-01,2553,0,0,0
2020-11-02,3718,0.00026896180742334586,4.7300605182239016e-05,0.001516363121887988
2020-11-03,2226,0.0004492362982929021,7.87727565027945e-05,0.002523459846456808
2020-11-04,3309,0.0006044122091266244,0.0001647678385709214,0.002188059250481256
2020-11-05,2988,0.00033467202141900936,5.8881684292348196e-05,0.0018871237278519832
2020-11-06,2319,0.00043122035360068997,7.569869960391552e-05,0.0024251558103936797
2020-11-07,1778,0,0,0
2020-11-08,2640,0.0003787878787878788,6.679086900796733e-05,0.0021402169096214753
